id_starname,cks_steff,cks_steff_err1,cks_steff_err2,cks_smet,cks_smet_err1,cks_smet_err2,m17_kmag,m17_kmag_err,gaia2_sparallax,gaia2_sparallax_err,gdir_srad,gdir_srad_err1,gdir_srad_err2,giso_smass,giso_smass_err1,giso_smass_err2,giso_slogage,giso_slogage_err1,giso_slogage_err2,gaia2_gflux_ratio,fur17_rcorr_avg
K04822,5788, 60, -60,-0.02,0.04,-0.04,12.046,0.016,1.089,0.014,1.642,0.042,-0.041,1.043,0.022,-0.022,9.91,0.03,-0.03,1.000,nan
K04829,6002, 60, -60,-0.07,0.04,-0.04,12.798,0.028,0.996,0.019,1.246,0.039,-0.038,1.019,0.029,-0.029,9.82,0.07,-0.07,1.000,nan
K04833,5747, 60, -60,0.02,0.04,-0.04,12.098,0.023,1.174,0.015,1.497,0.040,-0.039,1.012,0.025,-0.024,9.97,0.04,-0.04,1.074,nan
K04834,5030, 60, -60,0.40,0.04,-0.04,10.958,0.016,1.293,0.015,2.465,0.069,-0.067,1.328,0.018,-0.026,9.68,0.03,-0.02,1.000,nan
K04839,6108, 60, -60,-0.10,0.04,-0.04,12.025,0.021,1.255,0.018,1.414,0.038,-0.037,1.067,0.039,-0.030,9.77,0.06,-0.08,1.000,nan
K04841,4802, 60, -60,-0.01,0.04,-0.04,13.668,0.036,1.371,0.057,0.704,0.038,-0.035,0.751,0.023,-0.024,9.72,0.30,-0.49,1.160,nan
K04850,5571, 60, -60,0.05,0.04,-0.04,12.533,0.023,1.565,0.017,0.931,0.025,-0.024,0.941,0.037,-0.035,9.68,0.19,-0.31,1.020,nan
K04864,5752, 60, -60,-0.21,0.04,-0.04,11.659,0.023,0.939,0.014,2.301,0.065,-0.063,1.153,0.025,-0.016,9.70,0.02,-0.02,1.000,nan
K04887,5872, 60, -60,0.03,0.04,-0.04,11.552,0.020,1.019,0.022,2.204,0.069,-0.067,1.244,0.025,-0.020,9.65,0.02,-0.02,1.003,nan
K04892,5552, 60, -60,-0.36,0.04,-0.04,12.577,0.028,0.587,0.014,2.455,0.086,-0.083,1.123,0.025,-0.027,9.71,0.03,-0.03,1.000,nan
K04898,5810, 60, -60,-0.12,0.04,-0.04,14.138,0.058,0.528,0.033,1.305,0.098,-0.088,0.935,0.028,-0.028,10.02,0.05,-0.05,1.000,nan
K04907,5933, 60, -60,0.04,0.04,-0.04,12.383,0.025,1.235,0.017,1.222,0.034,-0.033,1.043,0.031,-0.030,9.78,0.08,-0.09,1.000,nan
K04961,4826, 60, -60,0.25,0.04,-0.04,12.959,nan,1.710,0.032,0.766,0.025,-0.024,0.824,0.017,-0.024,9.61,0.31,-0.51,1.110,nan
K04978,5546, 60, -60,0.18,0.04,-0.04,13.507,nan,1.093,0.029,0.863,0.031,-0.030,0.967,0.026,-0.019,9.17,0.32,-0.55,1.014,nan
K05018,5481, 60, -60,0.39,0.04,-0.04,13.528,0.042,0.999,0.028,0.931,0.038,-0.037,1.033,0.012,-0.029,9.21,0.35,-0.48,1.000,nan
K05021,5675, 60, -60,0.05,0.04,-0.04,13.580,0.043,0.931,0.031,0.973,0.045,-0.042,0.972,0.032,-0.035,9.59,0.23,-0.40,1.012,nan
K05039,4835, 60, -60,0.03,0.04,-0.04,13.811,0.053,1.381,0.046,0.644,0.032,-0.031,0.752,0.020,-0.020,9.43,0.42,-0.59,1.126,nan
K05048,4941, 60, -60,0.09,0.04,-0.04,11.199,0.018,0.680,0.015,4.291,0.147,-0.141,1.465,0.106,-0.129,9.45,0.13,-0.11,1.000,nan
K05057,5004, 60, -60,0.00,0.04,-0.04,10.350,0.019,0.889,0.020,4.824,0.170,-0.163,1.554,0.138,-0.122,9.33,0.12,-0.11,1.000,nan
K05084,5586, 60, -60,0.23,0.04,-0.04,13.916,0.056,0.459,0.036,1.719,0.164,-0.142,1.090,0.045,-0.040,9.93,0.05,-0.06,1.649,1.0074
K05085,5713, 60, -60,-0.01,0.04,-0.04,14.185,0.072,0.795,0.036,0.867,0.054,-0.050,0.963,0.019,-0.031,9.22,0.38,-0.52,1.030,1.0190
K05107,4933, 60, -60,-0.13,0.04,-0.04,11.391,0.017,0.389,0.015,6.993,0.337,-0.316,1.579,0.153,-0.143,9.27,0.14,-0.13,1.021,1.0005
K05119,4984, 60, -60,0.08,0.04,-0.04,10.346,0.017,0.659,0.032,6.780,0.396,-0.363,1.929,0.176,-0.155,9.05,0.13,-0.11,1.001,nan
K05124,5301, 60, -60,0.04,0.04,-0.04,13.973,0.059,0.963,0.033,0.811,0.041,-0.038,0.874,0.022,-0.025,9.50,0.33,-0.52,1.000,nan
K05135,5168, 60, -60,0.04,0.04,-0.04,13.599,0.042,0.821,0.032,1.143,0.059,-0.055,0.872,0.014,-0.012,10.13,0.01,-0.02,1.287,nan
K05155,5728, 60, -60,-0.01,0.04,-0.04,13.848,0.053,0.673,0.035,1.184,0.077,-0.070,0.940,0.029,-0.028,10.00,0.07,-0.08,1.000,nan
K05159,6121, 60, -60,0.14,0.04,-0.04,13.331,0.030,0.843,0.029,1.168,0.051,-0.048,1.169,0.025,-0.030,9.07,0.28,-0.40,1.000,nan
K05198,5349, 60, -60,0.04,0.04,-0.04,13.877,0.048,0.992,0.037,0.813,0.041,-0.038,0.882,0.022,-0.024,9.53,0.30,-0.47,1.000,nan
K05216,5596, 60, -60,-0.02,0.04,-0.04,13.775,0.050,0.906,0.028,0.912,0.041,-0.039,0.925,0.032,-0.034,9.65,0.22,-0.37,1.048,1.0234
K05236,6093, 60, -60,-0.20,0.04,-0.04,11.723,0.020,1.948,0.015,1.039,0.024,-0.024,0.998,0.032,-0.031,9.57,0.13,-0.20,1.000,1.0004
K05241,6112, 60, -60,-0.26,0.04,-0.04,13.553,0.042,0.539,0.030,1.659,0.108,-0.098,1.030,0.030,-0.028,9.83,0.04,-0.04,1.020,nan
K05247,5963, 60, -60,0.12,0.04,-0.04,13.302,0.033,0.642,0.021,1.540,0.065,-0.061,1.171,0.043,-0.052,9.70,0.10,-0.07,1.000,nan
K05269,5343, 60, -60,-0.03,0.04,-0.04,13.594,0.044,1.234,0.026,0.744,0.028,-0.027,0.854,0.013,-0.015,9.00,0.41,-0.51,1.000,nan
K05278,5024, 60, -60,0.22,0.04,-0.04,13.935,0.067,0.820,0.041,1.006,0.067,-0.062,0.860,0.019,-0.016,10.08,0.05,-0.11,1.172,nan
K05284,5666, 60, -60,0.40,0.04,-0.04,12.933,0.029,0.921,0.021,1.301,0.045,-0.043,1.117,0.034,-0.033,9.78,0.09,-0.08,1.012,nan
K05290,5516, 60, -60,0.08,0.04,-0.04,14.080,0.058,0.840,0.028,0.860,0.043,-0.040,0.937,0.021,-0.025,9.38,0.32,-0.41,1.000,nan
K05324,4977, 60, -60,-0.10,0.04,-0.04,11.622,0.013,0.601,0.016,3.975,0.147,-0.141,1.294,0.120,-0.132,9.58,0.16,-0.14,1.000,nan
K05375,5017, 60, -60,-0.19,0.04,-0.04,11.596,0.014,0.415,0.018,5.887,0.300,-0.280,1.543,0.112,-0.142,9.29,0.14,-0.11,1.021,nan
K05379,5042, 60, -60,0.02,0.04,-0.04,10.485,0.015,0.946,0.021,4.219,0.143,-0.138,1.536,0.103,-0.107,9.35,0.12,-0.09,1.000,nan
K05380,5577, 60, -60,-0.20,0.04,-0.04,13.907,0.048,0.874,0.033,0.893,0.045,-0.042,0.840,0.034,-0.027,9.94,0.13,-0.25,1.045,nan
K05393,4815, 60, -60,0.02,0.04,-0.04,11.087,0.014,0.615,0.017,5.168,0.201,-0.192,1.274,0.153,-0.144,9.65,0.18,-0.17,1.001,nan
K05423,5722, 60, -60,0.35,0.04,-0.04,13.422,0.035,0.788,0.024,1.217,0.051,-0.048,1.105,0.030,-0.030,9.71,0.10,-0.13,1.009,nan
K05546,6240, 60, -60,-0.03,0.04,-0.04,13.489,0.039,0.817,0.027,1.092,0.048,-0.045,1.125,0.026,-0.030,9.03,0.29,-0.41,1.005,nan
K05567,5580, 60, -60,0.17,0.04,-0.04,13.143,0.031,0.527,0.024,2.090,0.114,-0.106,1.198,0.041,-0.034,9.77,0.05,-0.05,1.000,1.0070
K05592,6130, 60, -60,-0.00,0.04,-0.04,13.518,0.033,0.680,0.026,1.317,0.062,-0.058,1.107,0.031,-0.030,9.64,0.08,-0.09,1.010,nan
K05612,5196, 60, -60,0.03,0.04,-0.04,13.966,0.052,0.838,0.035,0.945,0.052,-0.049,0.837,0.020,-0.015,10.07,0.05,-0.11,1.438,nan
K05613,5511, 60, -60,0.09,0.04,-0.04,13.778,0.048,0.916,0.028,0.910,0.041,-0.039,0.940,0.028,-0.032,9.61,0.24,-0.36,1.000,nan
K05622,5240, 60, -60,0.06,0.04,-0.04,13.895,0.061,0.960,0.033,0.842,0.044,-0.041,0.863,0.028,-0.029,9.79,0.23,-0.42,1.164,nan
K05626,5949, 60, -60,-0.02,0.04,-0.04,13.937,0.055,0.638,0.026,1.162,0.063,-0.058,1.022,0.032,-0.031,9.75,0.10,-0.14,1.185,nan
K05645,5460, 60, -60,-0.03,0.04,-0.04,14.216,0.063,0.848,0.040,0.814,0.051,-0.047,0.892,0.026,-0.028,9.45,0.34,-0.55,1.000,nan
K05689,4670, 60, -60,0.03,0.04,-0.04,13.454,0.042,1.471,0.036,0.720,0.030,-0.029,0.741,0.022,-0.021,9.84,0.22,-0.45,1.000,1.0005
K05702,5819, 60, -60,0.04,0.04,-0.04,13.935,0.049,0.872,0.024,0.861,0.036,-0.035,0.983,0.023,-0.016,8.90,0.35,-0.44,1.000,nan
K05706,5726, 60, -60,0.19,0.04,-0.04,14.231,0.070,0.538,0.031,1.239,0.091,-0.083,1.039,0.033,-0.031,9.86,0.08,-0.11,1.000,nan
K05782,5046, 60, -60,0.11,0.04,-0.04,9.380,0.014,1.833,0.025,3.609,0.102,-0.099,1.517,0.072,-0.088,9.39,0.09,-0.07,1.000,nan
K05790,4877, 60, -60,0.14,0.04,-0.04,13.313,0.036,1.474,0.026,0.744,0.026,-0.025,0.809,0.019,-0.025,9.55,0.35,-0.53,2.991,nan
K05798,4966, 60, -60,0.04,0.04,-0.04,13.640,0.042,1.334,0.039,0.704,0.031,-0.029,0.794,0.019,-0.022,9.42,0.40,-0.56,1.000,nan
K05837,5735, 60, -60,0.12,0.04,-0.04,13.736,0.061,0.775,0.031,1.069,0.059,-0.055,1.010,0.035,-0.034,9.73,0.15,-0.24,5.109,nan
K05850,5615, 60, -60,0.09,0.04,-0.04,13.298,0.044,0.959,0.031,1.070,0.048,-0.045,0.948,0.033,-0.030,9.95,0.09,-0.13,1.003,nan
K05852,5654, 60, -60,0.01,0.04,-0.04,13.967,0.052,0.480,0.025,1.574,0.100,-0.092,0.995,0.031,-0.029,10.00,0.04,-0.04,1.232,nan
K05855,5702, 60, -60,0.14,0.04,-0.04,13.528,0.044,0.950,0.023,0.959,0.037,-0.035,1.021,0.024,-0.033,9.30,0.30,-0.44,1.000,nan
K05877,5502, 60, -60,0.05,0.04,-0.04,13.963,0.047,0.952,0.034,0.799,0.039,-0.037,0.923,0.019,-0.021,9.15,0.39,-0.51,1.000,nan
K05888,5174, 60, -60,-0.08,0.04,-0.04,13.728,0.047,1.191,0.027,0.739,0.029,-0.028,0.808,0.016,-0.025,9.49,0.35,-0.43,1.000,nan
K05900,6371, 60, -60,-0.06,0.04,-0.04,11.943,0.022,1.286,0.017,1.377,0.035,-0.034,1.187,0.022,-0.025,9.48,0.06,-0.07,1.000,nan
K05929,5504, 60, -60,-0.07,0.04,-0.04,13.093,0.035,1.097,0.018,1.036,0.033,-0.032,0.866,0.017,-0.012,10.11,0.03,-0.05,1.000,1.0047
K05949,5791, 60, -60,-0.24,0.04,-0.04,11.823,0.021,1.940,0.011,1.020,0.024,-0.024,0.863,0.029,-0.024,10.02,0.07,-0.09,1.000,1.0062
K05953,5094, 60, -60,0.33,0.04,-0.04,13.508,0.039,1.150,0.029,0.849,0.034,-0.032,0.906,0.024,-0.032,9.65,0.29,-0.47,1.000,nan
K06102,6323, 60, -60,-0.13,0.04,-0.04,9.833,0.018,1.616,0.024,2.927,0.076,-0.074,1.487,0.016,-0.003,9.33,0.02,-0.02,1.008,1.0003
