id_starname,cks_steff,cks_steff_err1,cks_steff_err2,cks_smet,cks_smet_err1,cks_smet_err2,m17_kmag,m17_kmag_err,gaia2_sparallax,gaia2_sparallax_err,gdir_srad,gdir_srad_err1,gdir_srad_err2,giso_smass,giso_smass_err1,giso_smass_err2,giso_slogage,giso_slogage_err1,giso_slogage_err2,gaia2_gflux_ratio,fur17_rcorr_avg
K04157,6246, 60, -60,0.00,0.04,-0.04,11.473,0.017,1.814,0.023,1.233,0.031,-0.030,1.146,0.030,-0.030,9.42,0.13,-0.16,1.000,nan
K04159,5224, 60, -60,0.13,0.04,-0.04,12.634,0.025,1.651,0.025,0.875,0.027,-0.026,0.872,0.033,-0.028,9.90,0.15,-0.25,1.000,1.0030
K04160,5767, 60, -60,0.24,0.04,-0.04,11.868,0.021,2.014,0.017,0.963,0.024,-0.023,1.055,0.010,-0.017,9.00,0.26,-0.22,1.013,nan
K04188,5970, 60, -60,0.12,0.04,-0.04,11.504,0.017,2.158,0.021,1.046,0.025,-0.025,1.102,0.020,-0.032,8.99,0.37,-0.42,1.008,nan
K04198,6105, 60, -60,-0.38,0.04,-0.04,11.356,0.017,1.262,0.023,1.897,0.053,-0.052,1.059,0.021,-0.020,9.78,0.03,-0.03,1.000,nan
K04199,5109, 60, -60,-0.13,0.04,-0.04,12.435,0.028,2.167,0.017,0.741,0.021,-0.020,0.784,0.024,-0.031,9.65,0.31,-0.45,1.000,nan
K04204,5848, 60, -60,0.13,0.04,-0.04,12.618,0.023,1.116,0.017,1.221,0.034,-0.033,1.060,0.031,-0.030,9.78,0.08,-0.09,1.000,nan
K04212,6174, 60, -60,0.10,0.04,-0.04,12.590,0.026,1.082,0.018,1.247,0.036,-0.035,1.177,0.024,-0.037,9.38,0.13,-0.19,1.000,nan
K04215,5367, 60, -60,-0.28,0.04,-0.04,11.997,0.021,1.113,0.016,1.770,0.052,-0.050,0.880,0.014,-0.012,10.12,0.02,-0.02,1.000,nan
K04222,5638, 60, -60,-0.02,0.04,-0.04,12.044,0.026,1.505,0.017,1.237,0.034,-0.033,0.916,0.025,-0.019,10.08,0.04,-0.05,1.002,nan
K04226,5844, 60, -60,0.35,0.04,-0.04,11.197,0.020,1.390,0.031,1.924,0.062,-0.060,1.363,0.027,-0.093,9.56,0.13,-0.05,1.021,1.0108
K04230,5819, 60, -60,-0.36,0.04,-0.04,12.365,0.018,1.081,0.014,1.430,0.037,-0.036,0.878,0.018,-0.018,10.08,0.03,-0.03,1.000,nan
K04235,6300, 60, -60,-0.00,0.04,-0.04,12.055,0.019,1.202,0.016,1.415,0.036,-0.035,1.202,0.021,-0.025,9.51,0.06,-0.07,1.000,nan
K04245,6053, 60, -60,0.20,0.04,-0.04,12.159,0.026,0.795,0.018,2.085,0.070,-0.067,1.432,0.033,-0.096,9.46,0.12,-0.05,1.000,nan
K04246,5723, 60, -60,0.28,0.04,-0.04,11.800,0.022,2.194,0.013,0.917,0.022,-0.022,1.024,0.010,-0.015,8.97,0.19,-0.29,1.000,nan
K04251,5514, 60, -60,0.04,0.04,-0.04,12.123,0.018,1.956,0.015,0.901,0.022,-0.022,0.922,0.031,-0.032,9.69,0.18,-0.25,1.000,nan
K04257,5476, 60, -60,0.02,0.04,-0.04,11.643,0.014,0.892,0.015,2.513,0.073,-0.071,1.289,0.022,-0.026,9.61,0.02,-0.02,1.002,nan
K04269,4966, 60, -60,0.07,0.04,-0.04,11.136,0.015,0.993,0.017,3.015,0.094,-0.090,1.262,0.077,-0.090,9.67,0.12,-0.09,1.010,nan
K04276,6300, 60, -60,0.12,0.04,-0.04,11.254,0.019,1.022,0.024,2.419,0.078,-0.075,1.571,0.021,-0.056,9.29,0.07,-0.03,1.006,nan
K04288,5932, 60, -60,0.08,0.04,-0.04,11.025,0.018,2.052,0.023,1.375,0.034,-0.033,1.091,0.036,-0.034,9.79,0.07,-0.08,1.004,1.0004
K04292,5471, 60, -60,-0.01,0.04,-0.04,11.279,0.012,2.500,0.018,1.047,0.025,-0.024,0.877,0.017,-0.011,10.11,0.03,-0.05,1.000,1.0048
K04296,5569, 60, -60,-0.50,0.04,-0.04,11.559,0.011,2.388,0.017,0.961,0.023,-0.022,0.789,0.007,-0.006,10.13,0.01,-0.02,1.002,nan
K04298,6173, 60, -60,-0.34,0.04,-0.04,12.159,0.023,1.130,0.015,1.461,0.038,-0.037,0.989,0.023,-0.022,9.86,0.04,-0.04,1.001,nan
K04301,6130, 60, -60,-0.21,0.04,-0.04,11.643,0.019,1.834,0.015,1.141,0.027,-0.026,0.995,0.031,-0.030,9.74,0.09,-0.10,1.001,nan
K04302,6073, 60, -60,-0.13,0.04,-0.04,12.336,0.023,1.046,0.018,1.458,0.042,-0.041,1.048,0.034,-0.027,9.82,0.05,-0.06,1.003,1.0012
K04304,5774, 60, -60,0.05,0.04,-0.04,12.632,0.027,0.998,0.017,1.368,0.041,-0.040,1.008,0.028,-0.027,9.96,0.05,-0.05,1.011,nan
K04312,5659, 60, -60,-0.22,0.04,-0.04,12.383,0.029,1.106,0.018,1.407,0.043,-0.041,0.883,0.017,-0.013,10.12,0.02,-0.03,1.000,nan
K04318,6467, 60, -60,-0.04,0.04,-0.04,11.460,0.016,1.722,0.019,1.279,0.030,-0.029,1.222,0.024,-0.039,9.16,0.21,-0.17,1.002,nan
K04323,6217, 60, -60,-0.10,0.04,-0.04,12.136,0.026,0.983,0.015,1.709,0.048,-0.046,1.210,0.027,-0.082,9.60,0.12,-0.05,1.073,1.0627
K04329,6208, 60, -60,0.09,0.04,-0.04,10.806,0.021,1.575,0.019,1.928,0.049,-0.047,1.373,0.027,-0.049,9.46,0.08,-0.04,1.017,1.0081
K04335,5707, 60, -60,-0.31,0.04,-0.04,12.693,0.027,1.321,0.018,1.018,0.029,-0.028,0.827,0.017,-0.011,10.10,0.03,-0.05,1.000,nan
K04356,4758, 60, -60,0.07,0.04,-0.04,13.452,0.044,1.592,0.032,0.661,0.026,-0.025,0.747,0.013,-0.019,9.20,0.54,-0.56,1.000,nan
K04366,5271, 60, -60,-0.12,0.04,-0.04,13.732,0.054,1.103,0.029,0.791,0.035,-0.033,0.820,0.027,-0.032,9.72,0.27,-0.52,2.511,1.0220
K04367,6165, 60, -60,-0.15,0.04,-0.04,12.687,0.024,0.884,0.018,1.474,0.046,-0.044,1.078,0.048,-0.033,9.75,0.06,-0.08,1.002,nan
K04368,5973, 60, -60,0.08,0.04,-0.04,11.544,0.021,0.982,0.014,2.294,0.062,-0.060,1.310,0.022,-0.025,9.59,0.02,-0.02,1.047,nan
K04374,5372, 60, -60,0.01,0.04,-0.04,12.461,0.027,1.752,0.019,0.880,0.025,-0.024,0.873,0.033,-0.029,9.87,0.15,-0.24,1.000,nan
K04382,6205, 60, -60,-0.13,0.04,-0.04,12.927,0.024,0.843,0.016,1.363,0.040,-0.039,1.086,0.028,-0.031,9.70,0.07,-0.07,1.000,nan
K04383,5763, 60, -60,0.05,0.04,-0.04,12.420,0.020,1.638,0.019,0.916,0.024,-0.023,0.998,0.020,-0.023,9.11,0.33,-0.58,1.000,nan
K04385,5090, 60, -60,0.11,0.04,-0.04,13.896,0.062,0.995,0.032,0.826,0.042,-0.039,0.844,0.029,-0.027,9.84,0.21,-0.41,1.015,nan
K04399,5577, 60, -60,-0.04,0.04,-0.04,10.353,0.011,4.768,0.018,0.829,0.019,-0.018,0.904,0.017,-0.019,9.27,0.27,-0.31,1.005,1.0016
K04400,5752, 60, -60,0.01,0.04,-0.04,12.216,0.022,1.576,0.015,1.055,0.027,-0.026,0.965,0.033,-0.033,9.84,0.11,-0.13,1.036,nan
K04407,6401, 60, -60,-0.17,0.04,-0.04,9.778,0.016,3.210,0.023,1.508,0.033,-0.032,1.170,0.033,-0.041,9.57,0.08,-0.07,1.061,1.0492
K04409,5894, 60, -60,0.21,0.04,-0.04,11.080,0.020,2.250,0.028,1.228,0.032,-0.031,1.119,0.033,-0.031,9.64,0.10,-0.13,1.006,1.0018
K04411,6044, 60, -60,-0.17,0.04,-0.04,12.060,0.021,1.612,0.014,1.077,0.026,-0.025,0.986,0.032,-0.033,9.71,0.11,-0.14,1.001,nan
K04421,5997, 60, -60,0.05,0.04,-0.04,11.409,0.016,1.726,0.027,1.363,0.036,-0.035,1.100,0.031,-0.036,9.74,0.07,-0.07,1.010,1.0071
K04423,6260, 60, -60,-0.16,0.04,-0.04,11.868,0.023,1.005,0.019,1.860,0.055,-0.053,1.178,0.095,-0.026,9.65,0.03,-0.13,1.001,nan
K04426,6169, 60, -60,0.07,0.04,-0.04,12.242,0.019,0.859,0.016,1.843,0.053,-0.051,1.323,0.031,-0.060,9.51,0.11,-0.04,1.005,nan
K04430,5104, 60, -60,0.11,0.04,-0.04,13.636,0.038,1.175,0.027,0.786,0.030,-0.029,0.852,0.022,-0.027,9.53,0.33,-0.51,1.013,nan
K04431,6275, 60, -60,-0.13,0.04,-0.04,11.228,0.018,1.405,0.021,1.774,0.046,-0.045,1.241,0.033,-0.083,9.57,0.11,-0.06,1.003,nan
K04435,6254, 60, -60,0.12,0.04,-0.04,12.221,0.023,0.850,0.012,1.852,0.048,-0.047,1.386,0.023,-0.025,9.42,0.04,-0.04,1.000,nan
K04441,4884, 60, -60,0.07,0.04,-0.04,12.821,0.026,1.872,0.021,0.734,0.022,-0.021,0.793,0.016,-0.027,9.55,0.35,-0.48,1.242,nan
K04443,6354, 60, -60,-0.07,0.04,-0.04,12.561,0.021,0.891,0.017,1.507,0.044,-0.042,1.210,0.022,-0.032,9.52,0.06,-0.05,1.012,1.0050
K04446,5087, 60, -60,-0.30,0.04,-0.04,10.587,0.011,1.855,0.022,2.036,0.055,-0.054,0.886,0.021,-0.013,10.11,0.02,-0.03,1.000,1.0010
K04452,5748, 60, -60,-0.28,0.04,-0.04,12.248,0.021,1.120,0.016,1.474,0.041,-0.040,0.891,0.019,-0.018,10.08,0.03,-0.03,1.004,1.0072
K04457,6051, 60, -60,-0.20,0.04,-0.04,12.444,0.025,1.192,0.050,1.227,0.061,-0.057,0.974,0.028,-0.028,9.86,0.06,-0.07,1.008,nan
K04469,4909, 60, -60,0.07,0.04,-0.04,12.185,0.017,2.516,0.017,0.729,0.020,-0.019,0.794,0.013,-0.021,9.40,0.39,-0.48,1.022,nan
K04473,5988, 60, -60,0.04,0.04,-0.04,12.218,0.021,0.802,0.023,2.073,0.079,-0.077,1.229,0.030,-0.028,9.66,0.03,-0.03,1.003,1.0006
K04480,5634, 60, -60,0.32,0.04,-0.04,12.364,0.031,1.396,0.019,1.118,0.033,-0.032,1.054,0.032,-0.030,9.75,0.11,-0.15,1.362,nan
K04482,6241, 60, -60,-0.05,0.04,-0.04,11.347,0.020,1.940,0.023,1.233,0.030,-0.029,1.119,0.033,-0.031,9.49,0.11,-0.14,1.017,nan
K04505,6077, 60, -60,-0.11,0.04,-0.04,12.361,0.017,1.198,0.015,1.259,0.031,-0.030,1.030,0.029,-0.029,9.78,0.07,-0.07,1.000,nan
K04546,5881, 60, -60,0.00,0.04,-0.04,12.022,0.021,1.373,0.021,1.317,0.037,-0.036,1.018,0.031,-0.029,9.89,0.06,-0.07,1.000,nan
K04556,5437, 60, -60,-0.11,0.04,-0.04,10.352,0.011,1.866,0.023,2.166,0.057,-0.055,1.101,0.021,-0.022,9.82,0.02,-0.02,1.000,1.0002
K04557,5909, 60, -60,-0.01,0.04,-0.04,12.294,0.022,1.026,0.016,1.534,0.043,-0.042,1.060,0.029,-0.025,9.87,0.04,-0.05,1.009,nan
K04561,6037, 60, -60,0.01,0.04,-0.04,12.653,0.022,0.687,0.027,1.927,0.091,-0.085,1.207,0.081,-0.033,9.67,0.04,-0.11,1.000,nan
K04567,6369, 60, -60,-0.11,0.04,-0.04,12.330,0.023,0.863,0.020,1.755,0.059,-0.056,1.256,0.035,-0.068,9.51,0.11,-0.05,1.109,1.0489
