id_koicand, koi_snr, det_prob, tr_prob, weight
K00139.01, 126.38, 0.997, 0.0062, 163.09
K03111.01, 14.37, 0.494, 0.0481, 42.09
K03111.02, 12.26, 0.367, 0.0883, 30.85
K01275.01, 99.37, 0.990, 0.0185, 54.55
K02414.01, 19.04, 0.932, 0.0451, 23.78
K02414.02, 13.65, 0.911, 0.0284, 38.71
K00579.01, 58.20, 0.957, 0.1067, 9.79
K00579.02, 40.99, 0.941, 0.0705, 15.08
K01279.01, 44.40, 0.947, 0.0390, 27.07
K01279.02, 20.07, 0.803, 0.0509, 24.48
K01271.01, 312.06, 1.000, 0.0111, 90.28
K02503.01, 19.82, 0.568, 0.0290, 60.70
K03946.01, 29.91, 0.950, 0.0077, 136.12
K00137.01, 146.00, 0.999, 0.0501, 19.97
K00137.02, 151.29, 0.999, 0.0322, 31.10
K00137.03, 30.91, 0.975, 0.0843, 12.17
K03384.01, 13.31, 0.849, 0.0543, 21.68
K03384.02, 30.59, 0.883, 0.0356, 31.86
K01629.01, 26.70, 0.941, 0.0969, 10.97
K00374.01, 54.93, 0.922, 0.0086, 125.64
K01893.01, 42.72, 0.983, 0.1244, 8.18
K00172.01, 70.29, 0.988, 0.0472, 21.44
K00172.02, 13.53, 0.757, 0.0070, 189.87
K00693.02, 48.50, 0.990, 0.0518, 19.50
K04251.01, 10.64, 0.917, 0.0585, 18.67
K02017.01, 41.25, 0.915, 0.1077, 10.14
K03125.01, 16.54, 0.756, 0.1056, 12.53
K00321.01, 50.05, 0.960, 0.1240, 8.40
K00321.02, 12.80, 0.594, 0.0807, 20.88
K01904.01, 38.68, 0.771, 0.0316, 41.02
K04301.01, 17.92, 0.596, 0.0392, 42.82
K01274.01, 165.34, 0.942, 0.0024, 436.92
K02956.01, 12.62, 0.788, 0.1522, 8.34
K00694.01, 103.07, 0.988, 0.0294, 34.39
K00695.01, 81.78, 0.944, 0.0220, 48.12
K04588.01, 12.07, 0.901, 0.1041, 10.67
K01282.01, 52.92, 0.974, 0.0343, 29.94
K02968.01, 15.13, 0.864, 0.0910, 12.73
K02595.01, 15.02, 0.892, 0.0678, 16.53
K02595.02, 10.83, 0.807, 0.0497, 24.92
K01412.01, 44.00, 0.975, 0.0267, 38.41
K00700.02, 38.20, 0.923, 0.0467, 23.19
K00700.03, 25.06, 0.829, 0.0346, 34.81
K00700.04, 18.25, 0.690, 0.0124, 116.50
K00700.01, 38.08, 0.937, 0.0211, 50.60
K00159.01, 71.01, 0.983, 0.0552, 18.44
K00159.02, 15.21, 0.882, 0.1330, 8.52
K00701.01, 58.68, 0.954, 0.0247, 42.49
K00701.02, 43.36, 0.928, 0.0533, 20.20
K00701.03, 25.11, 0.743, 0.0069, 194.56
K00701.04, 11.80, 0.363, 0.0041, 670.06
K00701.05, 6.84, 0.110, 0.0318, 287.29
K03196.01, 12.16, 0.167, 0.0895, 67.02
K03196.02, 13.12, 0.342, 0.0720, 40.58
K02319.01, 21.18, 0.894, 0.0332, 33.66
K02169.01, 24.43, 0.576, 0.0606, 28.62
K02169.02, 17.97, 0.351, 0.0853, 33.43
K02169.03, 15.80, 0.286, 0.0713, 48.95
K02169.04, 7.77, 0.038, 0.1113, 238.63
K04585.01, 14.48, 0.897, 0.1009, 11.05
K02530.01, 19.50, 0.948, 0.0307, 34.32
K01616.01, 21.06, 0.852, 0.0425, 27.61
K01616.02, 4.21, 0.101, 0.0231, 428.19
K02564.01, 16.84, 0.954, 0.0239, 43.76
K01988.01, 81.16, 0.971, 0.1700, 6.06
K03008.01, 13.58, 0.909, 0.1712, 6.42
K04060.01, 21.22, 0.918, 0.0081, 134.55
K02367.01, 19.90, 0.906, 0.0797, 13.85
K01915.01, 48.61, 0.996, 0.0972, 10.33
K01915.02, 14.45, 0.952, 0.0205, 51.28
K02833.01, 17.77, 0.813, 0.1818, 6.77
K04839.01, 10.46, 0.754, 0.0379, 35.01
K03425.01, 20.48, 0.966, 0.0544, 19.03
K03425.02, 16.83, 0.956, 0.1865, 5.61
K00323.01, 94.38, 0.967, 0.0546, 18.94
K00584.01, 69.99, 0.987, 0.0450, 22.50
K00584.02, 55.73, 0.979, 0.0271, 37.63
K00584.03, 13.34, 0.779, 0.0599, 21.42
K02522.01, 21.60, 0.837, 0.0548, 21.81
K02162.01, 23.51, 0.686, 0.0092, 158.11
K02162.02, 16.93, 0.523, 0.0061, 311.30
K02443.01, 16.69, 0.819, 0.0708, 17.24
K02443.02, 12.37, 0.722, 0.0489, 28.31
K02281.01, 26.25, 0.896, 0.2070, 5.39
K00704.01, 72.37, 0.950, 0.0247, 42.62
K01632.01, 28.17, 0.950, 0.1081, 9.74
K04318.01, 14.99, 0.797, 0.0424, 29.59
K02137.01, 23.30, 0.826, 0.0315, 38.41
K04640.01, 10.84, 0.892, 0.0986, 11.38
K00974.01, 28.52, 0.946, 0.0262, 40.29
K01411.01, 180.78, 0.997, 0.0054, 187.00
K00110.01, 120.32, 0.990, 0.0560, 18.04
K00271.01, 44.32, 0.951, 0.0206, 51.00
K00271.03, 24.53, 0.875, 0.0463, 24.66
K00271.02, 51.37, 0.960, 0.0288, 36.11
K01813.01, 60.78, 0.963, 0.0399, 26.02
K04637.01, 10.98, 0.453, 0.1410, 15.66
K02246.01, 19.89, 0.787, 0.0400, 31.76
K00707.01, 48.86, 0.997, 0.0415, 24.18
K00707.02, 28.69, 0.991, 0.0272, 37.12
K00707.03, 24.62, 0.988, 0.0322, 31.40
K00707.04, 18.75, 0.981, 0.0580, 17.59
K00707.05, 8.59, 0.933, 0.1017, 10.54
K02786.01, 23.01, 0.960, 0.0280, 37.25
K02717.01, 81.03, 0.970, 0.2676, 3.85
K02082.01, 28.17, 0.969, 0.0272, 37.94
K02079.01, 28.68, 0.758, 0.2609, 5.06
K02029.02, 19.97, 0.448, 0.0359, 62.08
K02029.03, 12.77, 0.198, 0.0462, 109.12
K02029.04, 12.25, 0.175, 0.0589, 96.96
K02029.01, 27.66, 0.729, 0.0260, 52.73
K04226.01, 14.62, 0.914, 0.0275, 39.76
K00049.01, 95.32, 0.997, 0.0684, 14.66
K00708.01, 57.69, 0.995, 0.0473, 21.24
K00708.02, 46.85, 0.992, 0.0815, 12.36
K01886.01, 41.95, 0.979, 0.0942, 10.84
K03232.01, 30.56, 0.851, 0.0604, 19.46
K00180.01, 101.08, 0.976, 0.0410, 24.97
K00709.01, 72.70, 0.960, 0.0253, 41.21
K03165.01, 16.62, 0.839, 0.1435, 8.31
K00115.01, 90.59, 0.990, 0.0714, 14.14
K00115.02, 25.77, 0.917, 0.0595, 18.34
K00115.03, 4.54, 0.108, 0.0967, 96.09
K01819.01, 53.26, 0.944, 0.0341, 31.09
K00711.01, 48.48, 0.971, 0.0172, 59.80
K00711.02, 43.05, 0.968, 0.0921, 11.22
K00711.03, 30.43, 0.915, 0.0087, 125.52
K02612.01, 15.28, 0.231, 0.0789, 54.95
K02612.02, 11.29, 0.137, 0.0567, 128.38
K00022.01, 1085.97, 1.000, 0.0651, 15.36
K02049.01, 47.06, 0.979, 0.2017, 5.07
K01938.01, 38.76, 0.854, 0.0084, 139.81
K01854.01, 42.96, 0.904, 0.0162, 68.13
K00179.01, 108.51, 1.000, 0.0528, 18.93
K00179.02, 33.95, 0.995, 0.0058, 173.74
K02815.01, 22.23, 0.846, 0.1890, 6.25
K02913.01, 16.75, 0.875, 0.1630, 7.01
K02545.01, 13.88, 0.889, 0.1107, 10.17
K02706.01, 39.82, 0.977, 0.1725, 5.93
K04617.01, 13.59, 0.711, 0.0324, 43.45
K00714.01, 168.68, 0.990, 0.0704, 14.34
K01913.01, 45.03, 0.892, 0.0610, 18.37
K02273.01, 16.71, 0.691, 0.0726, 19.93
K01852.01, 40.37, 0.978, 0.0471, 21.71
K03465.01, 11.26, 0.223, 0.0283, 158.96
K02035.01, 127.23, 0.990, 0.1195, 8.45
K00135.01, 770.28, 1.000, 0.1299, 7.70
K04421.01, 11.99, 0.391, 0.1003, 25.48
K01715.01, 35.07, 0.821, 0.0117, 104.39
K02943.01, 20.85, 0.927, 0.0217, 49.74
K01815.01, 94.16, 0.988, 0.0755, 13.41
K04230.01, 14.44, 0.917, 0.1026, 10.63
K00717.01, 34.68, 0.943, 0.0418, 25.38
K00717.02, 13.64, 0.806, 0.2688, 4.61
K00327.01, 52.04, 0.955, 0.1125, 9.30
K00327.02, 17.79, 0.713, 0.0122, 115.21
K04383.01, 13.60, 0.567, 0.0737, 23.93
K00718.01, 62.30, 0.988, 0.0855, 11.84
K00718.03, 20.97, 0.919, 0.0179, 60.78
K00718.02, 48.11, 0.980, 0.0294, 34.68
K03246.01, 68.18, 0.829, 0.2075, 5.82
K02732.01, 31.93, 0.957, 0.0963, 10.85
K02732.02, 24.54, 0.931, 0.0620, 17.32
K02732.04, 12.04, 0.779, 0.0418, 30.70
K02732.03, 19.07, 0.922, 0.0247, 43.98
K01606.01, 35.22, 0.934, 0.0640, 16.73
K01955.01, 37.62, 0.958, 0.0446, 23.39
K01955.03, 21.02, 0.882, 0.1963, 5.78
K01955.04, 18.61, 0.904, 0.0310, 35.74
K02803.01, 17.32, 0.272, 0.1183, 31.10
K02135.01, 27.73, 0.959, 0.0205, 50.86
K02135.02, 13.26, 0.864, 0.0401, 28.87
K02135.03, 21.03, 0.934, 0.0714, 14.99
K04431.01, 13.79, 0.829, 0.0487, 24.80
K01925.01, 19.84, 0.182, 0.0116, 472.78
K00720.01, 105.50, 0.993, 0.0543, 18.54
K00720.02, 67.07, 0.985, 0.0372, 27.31
K00720.04, 42.83, 0.962, 0.0872, 11.92
K00720.03, 45.06, 0.973, 0.0249, 41.35
K00722.01, 46.74, 0.954, 0.0195, 53.87
K02832.01, 20.59, 0.654, 0.0747, 20.48
K04146.01, 15.42, 0.404, 0.0723, 34.21
K02785.01, 32.43, 0.969, 0.0863, 11.95
K01783.02, 84.62, 0.985, 0.0055, 183.80
K02002.01, 30.23, 0.927, 0.0391, 27.58
K02312.01, 7.50, 0.849, 0.0145, 81.08
K01608.01, 32.67, 0.936, 0.0557, 19.17
K01608.02, 20.35, 0.861, 0.0334, 34.74
K01608.03, 16.61, 0.730, 0.0065, 211.81
K04292.01, 11.63, 0.195, 0.0528, 97.03
K01888.01, 40.98, 0.995, 0.0141, 71.46
K01917.01, 37.59, 0.947, 0.0217, 48.67
K01984.01, 31.40, 0.960, 0.0299, 34.84
K02964.01, 16.17, 0.951, 0.0278, 37.84
K01909.01, 29.65, 0.850, 0.0389, 30.28
K01909.02, 23.44, 0.772, 0.0683, 18.96
K01909.03, 19.61, 0.772, 0.0248, 52.33
K00991.01, 27.34, 0.896, 0.0371, 30.11
K00082.01, 90.15, 0.973, 0.0261, 39.39
K00082.02, 33.87, 0.860, 0.0352, 33.06
K00082.03, 6.67, 0.120, 0.0183, 453.12
K00082.04, 6.80, 0.092, 0.0452, 240.68
K00082.05, 5.61, 0.046, 0.0549, 391.85
K02342.01, 22.62, 0.796, 0.0470, 26.74
K04613.01, 12.94, 0.547, 0.1169, 15.64
K03130.02, 13.29, 0.384, 0.0512, 50.85
K02153.01, 23.33, 0.900, 0.0176, 63.08
K02153.02, 18.90, 0.851, 0.0310, 37.94
K04557.01, 11.87, 0.887, 0.1002, 11.25
K00332.01, 76.31, 0.991, 0.0972, 10.38
K00332.02, 9.50, 0.681, 0.0834, 17.61
K00104.01, 204.30, 0.998, 0.0924, 10.85
K01169.01, 90.91, 0.982, 0.2893, 3.52
K01905.01, 34.85, 0.812, 0.0419, 29.35
K01905.02, 22.03, 0.568, 0.0256, 68.77
K01905.03, 20.23, 0.489, 0.0154, 132.70
K00333.01, 50.57, 0.976, 0.0437, 23.42
K01165.01, 53.03, 0.968, 0.0514, 20.09
K01165.02, 11.61, 0.404, 0.0716, 34.54
K03224.01, 14.14, 0.237, 0.0793, 53.21
K02583.01, 16.73, 0.398, 0.0988, 25.45
K02484.01, 20.34, 0.809, 0.0196, 63.01
K01877.01, 57.92, 0.872, 0.0225, 50.91
K01168.01, 33.49, 0.983, 0.0047, 217.06
K02961.01, 15.18, 0.459, 0.1005, 21.67
K01162.01, 112.30, 0.956, 0.0085, 122.36
K02208.01, 25.04, 0.774, 0.1362, 9.48
K00337.01, 35.32, 0.962, 0.0345, 30.09
K00337.02, 10.70, 0.740, 0.0088, 154.11
K00338.01, 56.14, 0.939, 0.0475, 22.42
K00338.02, 13.41, 0.399, 0.0817, 30.70
K02300.01, 30.45, 0.922, 0.0883, 12.28
K04833.01, 11.77, 0.892, 0.1203, 9.31
K00275.01, 49.15, 0.968, 0.0518, 19.93
K00275.02, 25.52, 0.904, 0.0173, 64.08
K01308.01, 46.58, 0.987, 0.0379, 26.74
K04204.01, 18.23, 0.795, 0.0337, 37.28
K04765.01, 11.84, 0.823, 0.0542, 22.42
K00203.01, 617.31, 1.000, 0.1590, 6.29
K01837.01, 44.83, 0.898, 0.0165, 67.42
K01837.02, 35.85, 0.873, 0.1229, 9.31
K02046.01, 37.66, 0.973, 0.0397, 25.87
K00002.01, 750.22, 1.000, 0.2170, 4.61
K01311.01, 63.55, 0.947, 0.0124, 84.95
K04024.01, 19.65, 0.803, 0.0460, 27.05
K04312.01, 11.20, 0.776, 0.0794, 16.22
K04335.01, 13.89, 0.720, 0.0599, 23.18
K01639.02, 7.90, 0.979, 0.0921, 11.09
K01989.01, 20.68, 0.750, 0.0060, 220.81
K03925.01, 31.02, 0.992, 0.0404, 24.96
K03925.02, 12.72, 0.960, 0.0940, 11.08
K03925.03, 9.41, 0.936, 0.0582, 18.37
K03451.01, 10.83, 0.898, 0.0455, 24.47
K01316.01, 32.98, 0.942, 0.0928, 11.44
K03683.01, 401.04, 1.000, 0.0086, 116.29
K00017.01, 1212.38, 1.000, 0.1198, 8.35
K00117.01, 48.92, 0.990, 0.0480, 21.04
K00117.02, 26.90, 0.972, 0.1000, 10.29
K00117.03, 22.42, 0.964, 0.1335, 7.77
K00117.04, 7.19, 0.762, 0.0724, 18.14
K00341.01, 90.75, 0.991, 0.0509, 19.80
K00341.02, 57.20, 0.979, 0.0675, 15.13
K00046.01, 213.22, 1.000, 0.1432, 6.99
K00046.02, 7.04, 0.876, 0.0994, 11.48
K02754.01, 24.47, 0.896, 0.2221, 5.03
K03146.01, 15.20, 0.900, 0.0277, 40.12
K02623.01, 15.33, 0.904, 0.1048, 10.55
K03248.01, 12.11, 0.234, 0.0667, 64.06
K01315.01, 35.00, 0.926, 0.0679, 15.90
K01612.01, 18.61, 0.537, 0.1458, 12.77
K00343.03, 8.96, 0.584, 0.0197, 86.98
K00343.02, 58.62, 0.980, 0.1483, 6.88
K00343.01, 80.76, 0.990, 0.0838, 12.05
K04374.01, 14.05, 0.825, 0.0823, 14.74
K00344.01, 94.43, 0.976, 0.0172, 59.71
K00479.01, 83.63, 0.981, 0.0197, 51.86
K01800.01, 890.22, 1.000, 0.0472, 21.20
K03060.01, 11.77, 0.736, 0.0917, 14.80
K01439.01, 118.51, 0.996, 0.0066, 152.93
K01444.01, 29.83, 0.995, 0.0316, 31.82
K02007.02, 17.84, 0.760, 0.0274, 48.05
K02007.01, 25.27, 0.852, 0.0338, 34.68
K00345.01, 130.59, 0.971, 0.0175, 58.75
K01431.01, 260.81, 0.997, 0.0041, 245.99
K00292.01, 65.13, 0.970, 0.1152, 8.95
K00124.01, 43.38, 0.955, 0.0487, 21.49
K00124.02, 43.35, 0.952, 0.0265, 39.72
K02977.01, 18.21, 0.848, 0.1367, 8.62
K02977.02, 18.19, 0.852, 0.1051, 11.16
K00346.01, 86.02, 0.978, 0.0309, 33.15
K02333.01, 19.56, 0.904, 0.1074, 10.29
K02333.02, 18.01, 0.906, 0.0691, 15.98
K01863.01, 43.47, 0.971, 0.0215, 47.82
K02792.01, 18.44, 0.542, 0.1677, 11.01
K00276.01, 60.88, 0.945, 0.0210, 50.28
K02805.01, 21.80, 0.818, 0.1805, 6.77
K01647.01, 28.11, 0.983, 0.0512, 19.88
K01647.02, 16.03, 0.953, 0.0307, 34.22
K01647.03, 10.24, 0.921, 0.0909, 11.94
K04601.01, 10.68, 0.861, 0.0679, 17.11
K03220.01, 54.57, 0.991, 0.0170, 59.23
K00348.01, 185.39, 0.987, 0.0177, 57.21
K03346.01, 21.91, 0.790, 0.0417, 30.37
K00107.01, 107.29, 0.997, 0.0844, 11.89
K02672.01, 202.64, 0.994, 0.0096, 104.25
K02672.02, 98.33, 0.972, 0.0156, 65.86
K00294.01, 45.17, 0.945, 0.0222, 47.64
K04716.01, 11.97, 0.430, 0.0870, 26.74
K00246.01, 129.14, 0.986, 0.0859, 11.81
K00246.02, 14.89, 0.554, 0.0585, 30.87
K01802.01, 106.42, 0.991, 0.0685, 14.74
K01445.02, 4.61, 0.205, 0.0197, 247.28
K01445.01, 29.90, 0.937, 0.0761, 14.04
K02632.01, 16.23, 0.925, 0.1133, 9.54
K02366.01, 20.47, 0.737, 0.0298, 45.49
K00128.01, 1330.48, 1.000, 0.0878, 11.39
K00330.01, 46.04, 0.990, 0.0833, 12.12
K00330.02, 17.52, 0.953, 0.2177, 4.82
K00350.01, 40.11, 0.953, 0.0379, 27.72
K00277.01, 104.55, 0.996, 0.0539, 18.61
K00277.02, 15.78, 0.878, 0.0600, 19.01
K00173.01, 77.07, 0.990, 0.0579, 17.45
K02143.01, 21.81, 0.800, 0.0650, 19.22
K03015.01, 16.05, 0.831, 0.1370, 8.78
K04036.01, 17.96, 0.578, 0.0054, 320.81
K00351.06, 11.13, 0.882, 0.0669, 16.94
K00351.07, 15.88, 0.918, 0.0098, 111.07
K00351.01, 171.31, 1.000, 0.0051, 195.58
K00351.02, 97.83, 0.998, 0.0069, 144.74
K00351.03, 23.38, 0.960, 0.0160, 64.98
K00351.04, 16.09, 0.921, 0.0120, 90.24
K00351.05, 12.44, 0.904, 0.0578, 19.13
K00001.01, 4012.61, 1.000, 0.1227, 8.15
K02047.01, 29.61, 0.942, 0.0738, 14.39
K02110.01, 21.63, 0.907, 0.0960, 11.49
K02399.01, 16.12, 0.673, 0.1110, 13.39
K02109.01, 26.48, 0.989, 0.0446, 22.67
K00168.02, 13.51, 0.964, 0.0520, 19.96
K00168.03, 13.32, 0.963, 0.0866, 12.00
K00168.01, 30.61, 0.992, 0.0657, 15.34
K01655.01, 51.02, 0.972, 0.2117, 4.86
K00295.01, 75.44, 0.954, 0.0691, 15.17
K00295.02, 18.68, 0.665, 0.0450, 33.40
K01781.01, 222.09, 0.995, 0.0426, 23.61
K01781.02, 114.87, 0.980, 0.0806, 12.66
K00063.01, 297.09, 1.000, 0.0424, 23.59
K02365.01, 20.26, 0.935, 0.0252, 42.42
K02365.02, 11.22, 0.625, 0.0119, 134.49
K01856.01, 46.56, 0.927, 0.0135, 80.04
K03109.01, 15.98, 0.991, 0.0940, 10.73
K01442.01, 61.25, 0.964, 0.2797, 3.71
K01831.02, 22.62, 0.872, 0.0690, 16.62
K01831.03, 11.00, 0.541, 0.0176, 105.35
K01831.04, 16.28, 0.899, 0.0319, 34.91
K04304.01, 18.73, 0.893, 0.0655, 17.08
K00355.01, 77.60, 0.988, 0.0890, 11.38
K00365.01, 96.26, 0.869, 0.0102, 112.59
K00356.01, 202.41, 0.999, 0.1351, 7.41
K03363.01, 29.08, 0.964, 0.0432, 24.00
K01532.01, 59.90, 0.975, 0.0406, 25.25
K04771.01, 8.88, 0.765, 0.0101, 128.92
K00167.01, 100.36, 0.995, 0.0982, 10.23
K01535.01, 38.53, 0.800, 0.0123, 101.95
K02492.01, 22.77, 0.930, 0.2525, 4.26
K01883.01, 32.99, 0.946, 0.1622, 6.51
K03892.01, 32.51, 0.816, 0.1197, 10.24
K02173.01, 19.80, 0.463, 0.0145, 149.01
K02173.02, 23.91, 0.574, 0.0115, 151.50
K00296.01, 56.05, 0.948, 0.0254, 41.50
K00020.01, 1469.42, 1.000, 0.1160, 8.62
K00262.01, 25.90, 0.928, 0.0822, 13.10
K00262.02, 29.83, 0.952, 0.0728, 14.42
K02260.01, 25.54, 0.774, 0.0808, 15.99
K02581.01, 12.47, 0.456, 0.0349, 62.72
K00007.01, 146.38, 0.999, 0.1416, 7.07
K00072.01, 100.13, 0.981, 0.2731, 3.73
K00072.02, 44.84, 0.934, 0.0191, 56.09
K00297.01, 31.21, 0.944, 0.0845, 12.53
K01530.01, 41.85, 0.957, 0.0509, 20.52
K04129.01, 14.37, 0.369, 0.1005, 26.97
K05949.01, 6.94, 0.318, 0.0034, 932.08
K02590.02, 12.61, 0.843, 0.0515, 23.05
K00265.01, 42.48, 0.925, 0.1120, 9.65
K02072.01, 34.29, 0.956, 0.2177, 4.80
K00623.01, 25.02, 0.847, 0.0552, 21.40
K00623.02, 18.15, 0.721, 0.0418, 33.17
K00623.03, 23.47, 0.826, 0.0831, 14.56
K00623.04, 9.26, 0.326, 0.0305, 100.53
K03017.01, 12.41, 0.339, 0.1103, 26.76
K04457.01, 13.34, 0.742, 0.0143, 93.91
K02407.01, 19.72, 0.951, 0.0439, 23.98
K02004.01, 31.01, 0.968, 0.0227, 45.51
K02004.02, 16.43, 0.939, 0.1536, 6.93
K02004.03, 9.36, 0.890, 0.2318, 4.85
K02714.02, 37.82, 0.973, 0.0262, 39.24
K02714.03, 18.02, 0.907, 0.0106, 104.22
K02714.01, 33.71, 0.966, 0.0579, 17.87
K00153.01, 79.54, 0.988, 0.0400, 25.30
K00153.02, 59.95, 0.978, 0.0609, 16.79
K03310.01, 14.18, 0.693, 0.0255, 56.61
K02372.01, 21.64, 0.914, 0.0999, 10.95
K00279.01, 130.79, 0.999, 0.0336, 29.80
K00279.02, 30.98, 0.979, 0.0505, 20.22
K00279.03, 5.55, 0.588, 0.0816, 20.86
K00375.01, 107.42, 0.998, 0.0033, 302.17
K04829.01, 7.74, 0.976, 0.0329, 31.19
K02331.01, 28.10, 0.960, 0.1444, 7.22
K01478.01, 294.06, 0.994, 0.0115, 87.13
K00486.01, 64.23, 0.983, 0.0303, 33.55
K00361.01, 43.34, 0.941, 0.0918, 11.57
K03122.01, 11.45, 0.890, 0.1042, 10.78
K04329.01, 14.13, 0.797, 0.0544, 23.04
K04605.01, 13.04, 0.929, 0.1038, 10.37
K00548.01, 52.78, 0.991, 0.0356, 28.32
K03663.01, 544.97, 0.999, 0.0048, 209.16
K04245.01, 19.21, 0.973, 0.0467, 22.00
