id_koicand, koi_snr, det_prob, tr_prob, weight
K00629.01, 48.66, 0.982, 0.0244, 41.71
K03184.01, 10.61, 0.172, 0.0740, 78.67
K01534.01, 30.33, 0.925, 0.0371, 29.13
K01534.02, 17.73, 0.844, 0.0715, 16.57
K04367.01, 16.19, 0.959, 0.0100, 104.41
K04004.01, 24.69, 0.804, 0.0672, 18.52
K00367.01, 231.53, 0.996, 0.0211, 47.58
K03823.01, 109.53, 0.992, 0.0056, 178.92
K00632.01, 50.01, 0.891, 0.0483, 23.26
K00633.01, 52.48, 0.976, 0.0100, 102.57
K02120.01, 26.67, 0.762, 0.0387, 33.88
K00108.02, 106.73, 0.992, 0.0096, 105.18
K00108.01, 82.81, 0.991, 0.0481, 20.96
K02635.01, 12.69, 0.828, 0.0480, 25.15
K01665.02, 4.19, 0.870, 0.0789, 14.57
K01665.01, 19.63, 0.921, 0.0710, 15.29
K03936.02, 22.38, 0.875, 0.0305, 37.54
K01923.01, 40.72, 0.971, 0.0506, 20.33
K03421.01, 16.62, 0.902, 0.0269, 41.18
K01609.01, 37.66, 0.913, 0.0192, 57.10
K00635.01, 58.44, 0.976, 0.0346, 29.59
K02462.01, 21.63, 0.902, 0.0646, 17.16
K00161.01, 96.26, 0.993, 0.0820, 12.28
K00282.01, 117.36, 0.979, 0.0274, 37.31
K00282.02, 22.91, 0.708, 0.0601, 23.49
K00282.03, 9.76, 0.506, 0.0127, 156.17
K00123.02, 41.26, 0.972, 0.0372, 27.69
K00123.01, 53.35, 0.984, 0.0819, 12.40
K03093.01, 12.87, 0.840, 0.0310, 38.40
K00638.01, 75.92, 0.986, 0.0238, 42.59
K00638.02, 52.75, 0.973, 0.0119, 86.51
K00639.01, 50.94, 0.980, 0.0365, 27.92
K01822.01, 45.53, 0.898, 0.0080, 139.97
K02698.01, 50.72, 0.980, 0.0124, 82.06
K02563.01, 18.18, 0.966, 0.0447, 23.13
K02563.02, 10.39, 0.920, 0.1080, 10.06
K04246.01, 13.77, 0.526, 0.0533, 35.68
K01669.01, 50.54, 0.972, 0.0173, 59.55
K02158.01, 22.80, 0.621, 0.0766, 21.03
K02158.02, 11.81, 0.215, 0.0594, 78.21
K04411.01, 13.08, 0.625, 0.0463, 34.53
