iso_steff,iso_slogg_err2,iso_steff_err1,iso_steff_err2,iso_slogage,iso_smass,iso_sparallax_err1,iso_sparallax_err2,id_starname,iso_sparallax,iso_srad,iso_smet_err1,iso_smet_err2,iso_smass_err2,iso_smass_err1,iso_slogg_err1,iso_srad_err1,iso_smet,iso_srad_err2,iso_slogg,iso_slogage_err1,iso_slogage_err2,iso_sage,iso_sage_err1,iso_sage_err2
5917.0,-0.089,64.0,-62.0,9.64,1.071,0.32,-0.38,K00092,3.59,1.112,0.042,-0.042,-0.029,0.028,0.074,0.127,0.082,-0.088,4.373,0.14,-0.32,4.3651583224,1.66043753834,-2.27586219155
6171.0,-0.105,66.0,-53.0,9.545,1.191,0.27,-0.29,K00094,2.14,1.37,0.041,-0.041,-0.042,0.065,0.093,0.21,0.064,-0.15,4.243,0.078,-0.126,3.50751873953,0.690071100384,-0.883300196141
6090.0,-0.094,63.0,-65.0,9.537,1.369,0.19,-0.15,K00097,1.16,1.92,0.042,-0.044,-0.1,0.096,0.099,0.29,0.182,-0.27,4.007,0.063,-0.068,3.44349930763,0.537572397902,-0.499077673835
6497.0,-0.097,65.0,-64.0,9.332,1.308,0.21,-0.24,K00098,1.89,1.45,0.043,-0.041,-0.041,0.057,0.083,0.21,0.046,-0.14,4.23,0.072,-0.2,2.14783047413,0.387298156367,-0.792641061779
4946.0,-0.026,64.0,-66.0,10.04,0.717,0.2,-0.19,K00099,4.56,0.714,0.043,-0.043,-0.018,0.023,0.039,0.024,-0.267,-0.023,4.584,0.11,-0.34,10.9647819614,3.1605934848,-5.95290962516
5758.0,-0.094,64.0,-63.0,9.78,1.057,0.27,-0.29,K00102,2.45,1.17,0.041,-0.043,-0.035,0.044,0.088,0.15,0.229,-0.11,4.327,0.11,-0.18,6.02559586074,1.73687530554,-2.04452415521
5563.0,-0.07,64.0,-65.0,9.71,0.94,0.18,-0.23,K00103,3.2,0.916,0.042,-0.04,-0.029,0.027,0.048,0.068,0.009,-0.044,4.488,0.24,-0.42,5.12861383991,3.78389554142,-3.17876924016
4740.0,-0.024,64.0,-64.0,10.03,0.796,0.2,-0.19,K00104,5.08,0.783,0.041,-0.041,-0.018,0.023,0.032,0.022,0.306,-0.022,4.55,0.11,-0.29,10.7151930524,3.08864959365,-5.2197843138
5578.0,-0.075,64.0,-61.0,10.072,0.81,0.27,-0.28,K00105,3.01,0.907,0.043,-0.043,-0.023,0.026,0.08,0.087,-0.334,-0.073,4.428,0.077,-0.184,11.8032063565,2.2896816277,-4.07640050556
5909.0,-0.11,67.0,-61.0,9.636,1.249,0.25,-0.23,K00107,1.53,1.62,0.044,-0.041,-0.094,0.101,0.1,0.29,0.243,-0.22,4.11,0.087,-0.068,4.32513831035,0.959314207402,-0.626856512547
5887.0,-0.088,62.0,-62.0,9.784,1.137,0.28,-0.25,K00108,1.95,1.57,0.043,-0.042,-0.056,0.093,0.1,0.23,0.127,-0.2,4.1,0.073,-0.107,6.08135001279,1.11313976725,-1.32799775336
6203.0,-0.086,67.0,-65.0,9.57,1.082,0.18,-0.2,K00110,1.97,1.161,0.042,-0.043,-0.031,0.032,0.074,0.128,-0.157,-0.093,4.341,0.11,-0.25,3.71535229097,1.07094863225,-1.62605616012
