,id_starname,gdir_srad,gdir_srad_err1,gdir_srad_err2,giso_smass,giso_smass_err2,giso_smass_err1,giso_srad,giso_srad_err1,giso_srad_err2,giso_sage,giso_sage_err1,giso_sage_err2,giso2_sparallax,giso2_sparallax_err1,giso2_sparallax_err2
1044,K04014,1.07186932677,0.0270255626955,-0.0263076645667,1.06991085754,-0.0349061223863,0.0340008497389,1.07085400976,0.00957978490738,-0.0129781688047,2.77162884512,1.48011219828,-1.38998222537,1.31420668627,0.117571483184,-0.171358696325
1045,K04018,0.830626949051,0.0273033285293,-0.0264022453828,0.90755773825,-0.0260421275708,0.0156754244652,0.831358122084,0.0122899706473,-0.0100669628998,1.54690929689,2.35035979215,-1.08145621164,1.32862083568,0.0454865893226,-0.0729403950702
1046,K04021,5.8466908482,4.96237995109,-2.67772347169,1.39125305859,-0.149161137698,0.166462147955,2.02890098566,0.50033431207,-0.503409154614,2.45605743459,0.567764716442,-0.600944487604,1.8351943734,0.102708075921,-0.117557265632
1047,K04022,1.94697541445,0.0506594702988,-0.0493119015266,1.16055705927,-0.023663142061,0.0233107592815,1.93202541282,0.0308016149241,-0.0305285871803,5.25120378146,0.365230053932,-0.33440844256,1.11644629831,0.144191534306,-0.169589195868
1048,K04024,0.829941172652,0.0211340572045,-0.0205356792147,0.812672475444,-0.0231562788476,0.0273913623278,0.822892773468,0.00615795252586,-0.00728245328343,9.47488765595,2.84151086004,-3.28897570291,2.51394310721,0.0820843851745,-0.107308698747
1049,K04032,1.17448487176,0.030029427339,-0.0291786298536,0.923315217051,-0.0165027053321,0.0236409912463,1.16488102264,0.0122182030092,-0.0124337908185,12.3593455738,1.01818026646,-1.41830682922,2.74265773989,0.269228984105,-0.393038747884
1050,K04036,0.700976984066,0.0188321601621,-0.0182429823273,0.755426092325,-0.022876936432,0.0183731401711,0.70991850641,0.0040297982524,-0.00611300205782,3.12850137156,4.5097513451,-2.50564169159,2.84659943865,0.0840943796004,-0.0909099100305
1051,K04037,1.21878693959,0.0317246619012,-0.0307234685791,1.1120931821,-0.0306840257219,0.0331104532919,1.21708430186,0.0169809760271,-0.0184373078777,3.39811669177,0.918117750712,-0.856596527177,1.71431023183,0.147148892167,-0.211918329959
1052,K04053,0.990561344942,0.0241488130604,-0.023566557552,0.990340754626,-0.0353826617589,0.0321791914828,0.983919190535,0.0104444391354,-0.0105365866995,3.15556789678,1.7133637091,-1.47463605515,2.25717631809,0.162754397201,-0.230902188613
1053,K04054,0.786780585284,0.0224917759825,-0.0217347250106,0.879703178724,-0.0186952558724,0.0146686824856,0.798678992013,0.00740770279317,-0.0071873450759,1.2970082081,1.96499127008,-0.879018585137,1.61845863164,0.0613641013578,-0.0777095490004
1054,K04060,1.44872948282,0.0404445484902,-0.0390476602694,1.10698718706,-0.040029400256,0.050673009464,1.43387258246,0.0248431908963,-0.025354745529,6.75896681974,1.23479890947,-1.32060462548,1.06408214073,0.116489122236,-0.142936276976
1055,K04062,1.34400555047,0.0412383042417,-0.0398611385818,1.10247918362,-0.0344480187805,0.0291792152464,1.33483022445,0.0253922573242,-0.0250839451503,5.17920142573,0.982620441862,-0.81439388376,0.914422376413,0.112763521841,-0.122645394489
1056,K04066,1.35069470801,0.0333381736569,-0.0324845606253,1.21420956735,-0.0176811056509,0.054753808701,1.34367544701,0.0224140816732,-0.0202273052713,2.58865847834,0.398919536318,-1.00368968183,1.23049185519,0.0747744464749,-0.151014804242
1057,K04067,1.0946243258,0.0323498951761,-0.0313204223838,1.08754190637,-0.0353521626967,0.0342984919392,1.07795705876,0.0244219824408,-0.014469325625,2.44912352718,1.43759895276,-1.31930340045,1.0539260946,0.0895859410219,-0.135642769586
1058,K04070,0.745855266751,0.0203944238818,-0.0198106153325,0.801764515459,-0.0266489599919,0.0191352818107,0.751179208804,0.00596500639745,-0.00596745447149,3.61820614288,4.32418145815,-2.58252759361,2.13601468262,0.0676974071216,-0.0715270716745
1059,K04072,1.20759964343,0.029498498454,-0.0286183456219,1.04543147222,-0.0289626781496,0.0306124928434,1.19800596638,0.0127559776941,-0.0116293195209,6.34763486838,1.26698045594,-1.20048529498,1.47879761608,0.159932246886,-0.199069608145
1060,K04098,0.800889101471,0.103869621893,-0.0832664374734,0.776507840859,-0.0242938232894,0.0260613974784,0.750258310444,0.0227818088774,-0.0202727196138,6.93762573268,4.68632369079,-4.66553566634,2.94246504063,0.0945795512849,-0.0950941301755
1061,K04103,0.973553512173,0.0310505133588,-0.0300248630005,0.847468377486,-0.0094097368491,0.0128895465318,0.941264271579,0.0140225020729,-0.0127010887654,12.9693530841,0.664626255183,-1.25195773361,1.58661885367,0.0491060214939,-0.0709633735711
1062,K04109,0.756908124779,0.0217203148796,-0.0209667798896,0.843637231789,-0.0162504231694,0.0136910057727,0.765825962827,0.00638469511479,-0.00534705793158,1.76481881176,2.03710364279,-1.46718023441,2.00848912335,0.0709727612865,-0.079245209678
1063,K04121,0.792374302327,0.036233039253,-0.0343948737722,0.716220722395,-0.0130278335631,0.0179087939153,0.726673814427,0.0135148456541,-0.0122749119277,11.569783567,1.68712238678,-3.1990025155,1.2473282506,0.0361436520708,-0.0359078682134
1064,K04123,2.27683580314,0.0793571563315,-0.0759046165297,1.48951317126,-0.0557154428001,0.0384269982788,2.23212720022,0.0590916278154,-0.0599064252093,2.33062252915,0.438839735663,-0.238658157959,0.812308027966,0.11224274368,-0.12017857781
1065,K04129,0.78143107753,0.0203078949841,-0.0196730618388,0.858543427627,-0.0273278809248,0.0135396491947,0.785596098018,0.00603111136919,-0.00442815355299,2.33514471493,2.97662917264,-1.68917432212,2.88544152219,0.101405447207,-0.120690509564
1066,K04136,1.84404214885,0.059369532929,-0.0573371838455,1.14973930752,-0.0243873754553,0.0247192184733,1.82816766547,0.0427938536779,-0.038705338127,6.61349215721,0.504688562463,-0.466088016221,0.871288650791,0.115868327556,-0.135921126595
1067,K04144,0.960014075844,0.0283280953765,-0.0274505839736,1.0044774466,-0.027526138574,0.0220301263303,0.948161275386,0.0135648438944,-0.0153724887496,1.35514067182,1.43589020507,-0.804825961639,1.09852386741,0.0701631384032,-0.109589430917
