iso_slogage,iso_sage_err2,iso_sage_err1,iso_srad_err2,iso_srad_err1,iso_smet,iso_smass,iso_sage,iso_steff_err2,iso_steff,iso_steff_err1,id_starname,iso_slogage_err2,iso_slogage_err1,iso_srad,iso_sparallax_err2,iso_sparallax_err1,iso_slogg,iso_smass_err1,iso_smass_err2,iso_smet_err2,iso_smet_err1,iso_sparallax,iso_slogg_err2,iso_slogg_err1
9.75574646179,-1.84992460987,1.83996134556,-0.0284821034355,0.0308248306011,-0.0109303887249,0.991117905192,5.69831511341,-59.5333128502,5822.73177201,59.2444528015,K00001,-0.170467327499,0.121525598942,1.05497408532,-8.82949602186e-05,8.82949602186e-05,4.38426000409,0.0340561685046,-0.0325238980164,-0.0365945543798,0.0455469938838,0.00468,-0.0307404768043,0.0320581807173
9.26307164547,-0.289702806238,0.287668804928,-0.0578308485583,0.060678512609,0.179385005789,1.39993719072,1.83261672383,-65.1813910743,6443.2731749,64.0727779854,K00002,-0.0747299489317,0.0633227037683,1.62945135597,-0.000113771701227,0.000113771701227,4.15713146178,0.0362359675011,-0.0298819797923,-0.0422539398981,0.0462249043238,0.00363,-0.0281038707267,0.0283179341074
9.81363928085,-4.0320541437,4.3641923427,-0.0150675193586,0.0147435041345,0.300862273104,0.846347993559,6.51087384993,-51.5894691896,4857.71789409,45.9532254437,K00003,-0.419394340782,0.222792628183,0.803575202359,-0.000220907220344,0.000220907220344,4.55443526917,0.0270296034595,-0.0256626435397,-0.0414067029234,0.0406075702386,0.0253,-0.0246691904647,0.0231980152165
9.24970536247,-0.817242293042,0.644908198202,-0.0253225792989,0.0315740998975,0.0216731667031,1.20498115064,1.77707338465,-45.7790463027,6333.36706733,78.4118406046,K00006,-0.26751054863,0.134465473907,1.26124983734,-3.94461658466e-05,3.94461658466e-05,4.31724267406,0.0423855855147,-0.0220010153629,-0.0455888946521,0.0423436389695,0.00219,-0.0252356139907,0.0242268070371
9.79200865655,-1.28998518281,1.15068841808,-0.052866963411,0.0549167909287,0.163073181073,1.1425479212,6.1945342217,-58.5625405402,5840.62052035,47.6765167407,K00007,-0.101409575296,0.0739963076037,1.5259287206,-6.7052218457e-05,6.7052218457e-05,4.13055949545,0.0643885365792,-0.0467480832268,-0.0456533847409,0.033687091089,0.00208,-0.0349979324399,0.0295958013626
9.45470657046,-1.63388810346,1.91519304124,-0.0210995903189,0.0253656949046,-0.0870940016331,1.00100902435,2.84909263763,-61.1262718721,5896.36671912,50.2274532363,K00008,-0.370057189163,0.22329122455,0.978801329918,-3.94461658466e-05,3.94461658466e-05,4.45458617094,0.0285534604695,-0.0344374311356,-0.0453015795553,0.0347357310512,0.00289,-0.0286485710094,0.0269676719647
9.67627836869,-0.74968214377,0.828659127528,-0.0420915046269,0.0474404166057,-0.10674137381,1.09038200115,4.74546056449,-57.7072574585,6182.69513768,60.29034159,K00010,-0.0746769715539,0.069897921307,1.30829346713,-3.44093010682e-05,3.44093010682e-05,4.24022936594,0.0301419084943,-0.0303277635573,-0.0380049211899,0.0440147604437,0.00119,-0.0318531738204,0.0269993072958
9.81927137052,-1.18985230313,1.48124397351,-0.0511870016201,0.0520977476906,0.337924272352,1.14140092667,6.59585911212,-49.455203427,5672.78477967,40.9983136923,K00017,-0.0863947821531,0.0879842551665,1.43837614127,-4.83321838944e-05,4.83321838944e-05,4.1781549623,0.0477463990739,-0.0490010956162,-0.0348633057448,0.044408831706,0.00153,-0.0310728080064,0.0287827961163
9.46618386977,-0.288774589307,0.303628815315,-0.056282868511,0.0613296749414,-0.00318169997646,1.27807623282,2.92539065529,-60.4626805111,6321.32816198,64.6311569398,K00018,-0.045136975687,0.0428867939979,1.60125532792,-4.11825205639e-05,4.11825205639e-05,4.13310527078,0.0307615389243,-0.0289023053317,-0.0406227977263,0.0433621160781,0.00122,-0.0291475211706,0.0242246876719
9.79859519958,-0.813112267304,0.6491616769,-0.0648679137352,0.0704197056306,0.0146173092312,1.1198640632,6.28919701441,-63.3956116407,5934.06864913,67.3931824588,K00020,-0.0601250389898,0.0426615481612,1.66191958977,-3.77359245282e-05,3.77359245282e-05,4.04265421987,0.0439594299492,-0.0307357704919,-0.0468177467453,0.0388235160668,0.00106,-0.032853527849,0.0405495477148
9.71112002581,-0.779944394103,1.17397507382,-0.0505137905746,0.0545659792006,0.180885207761,1.15045072478,5.14185737274,-51.5942064558,5872.04852361,63.489838908,K00022,-0.0714430287744,0.089310574232,1.37775069019,-4.29418211072e-05,4.29418211072e-05,4.21688657228,0.0347574620641,-0.0409921104385,-0.0383512794248,0.0459165352958,0.0013,-0.0309399980156,0.0307596154049
9.83889530933,-1.64080132209,0.80778850068,-0.053888174497,0.0556660172238,0.084445306837,1.10077133072,6.90073435262,-66.5016048091,5867.39950374,63.4674448528,K00041,-0.117915094583,0.0480758549523,1.53920437295,-0.000100019998,0.000100019998,4.10664874036,0.0684002892511,-0.0321140669745,-0.0417479924325,0.0470824501995,0.00332,-0.0337801492709,0.0339412976932
9.46130173006,-0.621987618757,0.635375963256,-0.0369917543078,0.0356196059668,-0.028471584318,1.17600764924,2.89268890645,-62.8843896287,6302.43186035,57.4053205255,K00042,-0.10514172382,0.0862348317433,1.30681799854,-0.000165215011425,0.000165215011425,4.26997475025,0.0254896254129,-0.0320839907572,-0.0457839618431,0.0421774272227,0.00793,-0.0213225673897,0.030078695739
