 KOI  KICID     Telescope Instrument  Band    PSF  delta(m)   d    Obsdate
 969   4044005    WIYN      DSSI     692nm    0.05   3.78    0.2   2013-05-25
 970  11502218    WIYN      DSSI     880nm    0.05   3.69    0.2   2011-09-10
 970  11502218    WIYN      DSSI     692nm    0.05   2.89    0.2   2011-09-10
 971  11180361    WIYN      DSSI     692nm    0.05   2.87    0.2   2011-09-10
 971  11180361    WIYN      DSSI     880nm    0.05   3.03    0.2   2011-09-10
 972  11013201    Keck     NIRC2        K'   99.99   4.59   0.03   2012-08-14
 972  11013201    Keck     NIRC2        K'   99.99   6.40    0.5   2012-08-14
 972  11013201    Keck     NIRC2        K'   99.99   7.20    0.5   2012-08-14
 972  11013201  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-21
 972  11013201    Pal5     PHARO  Br-gamma    0.10   7.23    0.5   2012-06-07
 972  11013201    WIYN      DSSI     880nm    0.05   3.49    0.2   2011-06-13
 972  11013201    WIYN      DSSI     692nm    0.05   4.08    0.2   2011-06-13
 973  12366681    WIYN      DSSI     880nm    0.05   3.33    0.2   2011-09-10
 973  12366681    WIYN      DSSI     692nm    0.05   3.14    0.2   2011-09-10
 974   9414417    Keck     NIRC2        K'   99.99   3.88   0.03   2012-07-05
 974   9414417    Keck     NIRC2        K'   99.99   7.40    0.5   2012-07-05
 974   9414417    Keck     NIRC2        K'   99.99   7.30    0.5   2012-07-05
 974   9414417     MMT     ARIES         J    0.20   8.00    1.0   2010-09-26
 974   9414417     MMT     ARIES        Ks    0.15   8.00    1.0   2010-09-26
 974   9414417  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-03
 974   9414417  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
 974   9414417    Pal5     PHARO  Br-gamma    0.12   6.48    0.5   2014-07-12
 974   9414417    Pal5     PHARO         J    0.21   4.44    0.5   2014-07-12
 974   9414417    WIYN      DSSI     562nm    0.05   4.55    0.2   2010-09-17
 974   9414417    WIYN      DSSI     692nm    0.05   3.84    0.2   2010-09-17
 975   3632418    Keck     NIRC2        K'   99.99   7.20    0.5   2012-07-05
 975   3632418    Keck     NIRC2        K'   99.99   5.90    0.5   2012-07-05
 975   3632418     MMT     ARIES         J    0.20   8.00    1.0   2010-09-24
 975   3632418     MMT     ARIES        Ks    0.15   8.00    1.0   2010-09-24
 975   3632418  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-17
 975   3632418    Pal5     PHARO  Br-gamma    0.09   6.26    0.5   2015-05-27
 975   3632418    Pal5     PHARO         J    0.08   6.30    0.5   2015-05-27
 975   3632418    WIYN      DSSI     562nm    0.05   4.00    0.2   2010-09-17
 975   3632418    WIYN      DSSI     692nm    0.05   3.96    0.2   2010-09-17
 976   3441784  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-03
 976   3441784  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-04-22
 976   3441784  Pal1.5   Robo-AO        r'    0.12  99.99  99.99   2013-04-22
 976   3441784  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-04-22
 976   3441784  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-04-22
 976   3441784  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
 976   3441784    WIYN      DSSI     692nm    0.05   3.60    0.2   2011-06-13
 976   3441784    WIYN      DSSI     880nm    0.05   2.87    0.2   2011-06-13
 976   3441784    WIYN      DSSI     692nm    0.05   2.70    0.2   2013-09-21
 976   3441784    WIYN      DSSI     880nm    0.05   1.63    0.2   2013-09-21
 976   3441784    WIYN      DSSI     692nm    0.05   2.11    0.2   2013-09-23
 976   3441784    WIYN      DSSI     880nm    0.05   1.67    0.2   2013-09-23
 977  11192141    Keck     NIRC2     Kcont   99.99  99.99  99.99   2013-10-28
 977  11192141    Keck     NIRC2         J   99.99  99.99  99.99   2013-10-28
 977  11192141    Lick     IRCAL         J    0.26   3.22    0.5   2011-09-10
 977  11192141  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-03
 977  11192141  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-16
 977  11192141    WIYN      DSSI     692nm    0.05   3.71    0.2   2011-06-13
 977  11192141    WIYN      DSSI     880nm    0.05   2.93    0.2   2011-06-13
 977  11192141    WIYN      DSSI     692nm    0.05   3.88    0.2   2013-09-21
 977  11192141    WIYN      DSSI     880nm    0.05   3.07    0.2   2013-09-21
 977  11192141    WIYN      DSSI     692nm    0.05   3.46    0.2   2013-09-23
 977  11192141    WIYN      DSSI     880nm    0.05   3.00    0.2   2013-09-23
 978  11494130    WIYN      DSSI     692nm    0.05   2.82    0.2   2011-09-10
 978  11494130    WIYN      DSSI     880nm    0.05   2.73    0.2   2011-09-10
 979   5648449     MMT     ARIES        Ks    0.15   8.00    1.0   2011-10-08
 979   5648449    WIYN      DSSI     692nm    0.05   2.23    0.2   2011-09-10
 979   5648449    WIYN      DSSI     880nm    0.05   2.53    0.2   2011-09-10
 980  12167361    WIYN      DSSI     692nm    0.05   2.97    0.2   2011-09-10
 980  12167361    WIYN      DSSI     880nm    0.05   2.70    0.2   2011-09-10
 981   8607720    Keck     NIRC2        K'   99.99   3.81   0.03   2012-08-14
 981   8607720    Lick     IRCAL         J    0.27   3.10    0.5   2012-07-06
 981   8607720  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-03
 981   8607720  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
 981   8607720    WIYN      DSSI     692nm    0.05   3.91    0.2   2011-06-13
 981   8607720    WIYN      DSSI     880nm    0.05   3.06    0.2   2011-06-13
 984   1161345    Keck     NIRC2        K'   99.99   6.00    0.5   2012-08-14
 984   1161345    Keck     NIRC2        K'   99.99   3.64   0.03   2014-08-13
 984   1161345    Lick     IRCAL         J    0.39   2.77    0.5   2012-07-06
 984   1161345  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-03
 984   1161345  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-22
 984   1161345  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-08-22
 984   1161345  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-08-22
 984   1161345    WIYN      DSSI     692nm    0.05   2.89    0.2   2011-06-13
 984   1161345    WIYN      DSSI     880nm    0.05   2.49    0.2   2011-06-13
 984   1161345    WIYN      DSSI     692nm    0.05   2.97    0.2   2013-09-23
 984   1161345    WIYN      DSSI     880nm    0.05   2.81    0.2   2013-09-23
 986   2854698    Keck     NIRC2        K'   99.99  99.99  99.99   2012-08-26
 986   2854698  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-03
 987   7295235     Gem      DSSI     880nm    0.02   4.10    0.2   2014-07-25
 987   7295235     Gem      DSSI     692nm    0.02   4.52    0.2   2014-07-25
 987   7295235    Keck     NIRC2        K'   99.99   8.10    0.5   2012-07-07
 987   7295235    Keck     NIRC2        K'   99.99  99.99  99.99   2013-08-25
 987   7295235    Keck     NIRC2        K'   99.99   4.54   0.03   2014-08-13
 987   7295235    Lick     IRCAL         J    0.47   2.24    0.5   2011-09-10
 987   7295235  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-03
 987   7295235  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-08-20
 987   7295235  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-20
 987   7295235  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-08-20
 987   7295235    WIYN      DSSI     880nm    0.05   2.20    0.2   2011-06-13
 987   7295235    WIYN      DSSI     692nm    0.05   2.57    0.2   2011-06-13
 988   2302548  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-03
 988   2302548  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-25
 988   2302548    WIYN      DSSI     880nm    0.05   2.41    0.2   2012-09-27
 988   2302548    WIYN      DSSI     692nm    0.05   2.37    0.2   2012-09-27
 989  10743597  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-24
 990  10015516    Pal5     PHARO        Ks    0.11   6.00    0.5   2013-06-28
 991  10154388  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-03
 991  10154388  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-13
 991  10154388    WIYN      DSSI     562nm    0.05   1.45    0.2   2010-06-19
 991  10154388    WIYN      DSSI     692nm    0.05   3.22    0.2   2010-06-19
 992   1432789  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
 992   1432789    WIYN      DSSI     562nm    0.05   3.03    0.2   2010-06-20
 992   1432789    WIYN      DSSI     692nm    0.05   3.32    0.2   2010-06-20
 993   1718189    Lick     IRCAL         H    0.33   5.80    1.0   2013-07-18
 993   1718189  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-25
 993   1718189    WIYN      DSSI     562nm    0.05   3.66    0.2   2010-06-21
 993   1718189    WIYN      DSSI     692nm    0.05   2.22    0.2   2010-06-21
 993   1718189    WIYN      DSSI     692nm    0.05   3.29    0.2   2010-06-22
 993   1718189    WIYN      DSSI     562nm    0.05   2.62    0.2   2010-06-22
 994   1431122  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-25
 994   1431122    WIYN      DSSI     562nm    0.05   4.05    0.2   2010-06-18
 994   1431122    WIYN      DSSI     692nm    0.05   4.26    0.2   2010-06-18
 998   1432214  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
 999   2165002  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1001   1871056    Lick     IRCAL         J    0.65   2.06    0.5   2011-09-08
1001   1871056  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-03
1001   1871056    Pal5     PHARO        Ks    0.15   2.71    0.5   2014-07-17
1001   1871056    WIYN      DSSI     880nm    0.05   2.06    0.2   2011-06-15
1001   1871056    WIYN      DSSI     692nm    0.05   3.19    0.2   2011-06-15
1002   1865042  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-03
1002   1865042  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-04-22
1002   1865042  Pal1.5   Robo-AO        r'    0.12  99.99  99.99   2013-04-22
1002   1865042  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-04-22
1002   1865042  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-04-22
1002   1865042    WIYN      DSSI     692nm    0.05   2.16    0.2   2013-05-26
1002   1865042    WIYN      DSSI     880nm    0.05   2.22    0.2   2013-05-26
1005   5780460  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-11-09
1007   1725016  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1010   1027438  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-03
1014   8125580  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-21
1015   8158127  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1017   8174625  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-31
1019   8179973    Keck     NIRC2        K'   99.99   3.90   0.03   2012-07-05
1019   8179973    Lick     IRCAL         J    0.26   3.19    0.5   2011-09-10
1019   8179973  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-03
1019   8179973  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-04-20
1019   8179973  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-04-20
1019   8179973  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-04-20
1019   8179973    Pal5     PHARO        K'    0.11   6.00    0.5   2013-06-25
1019   8179973    WIYN      DSSI     692nm    0.05   3.72    0.2   2011-06-13
1019   8179973    WIYN      DSSI     880nm    0.05   3.01    0.2   2011-06-13
1020   2309719    Lick     IRCAL         H    0.31   2.87    0.5   2012-08-06
1020   2309719  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-03
1020   2309719    WIYN      DSSI     692nm    0.05   3.57    0.2   2011-06-14
1020   2309719    WIYN      DSSI     880nm    0.05   2.62    0.2   2011-06-14
1022   2716853  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1024   2715135    Lick     IRCAL         H    0.33   5.30    1.0   2013-07-16
1024   2715135  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-27
1026   1996399    WIYN      DSSI     880nm    0.05   1.93    0.2   2011-06-11
1029   2164169  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1030   2574338  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-21
1031   2584163  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1032   2162635    CAHA  AstraLux        i'    0.71   2.84    0.5   2011-06-06
1032   2162635    Keck     NIRC2  Br-gamma    0.05   8.31    0.5   2014-09-04
1032   2162635  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-03
1032   2162635    WIYN      DSSI     692nm    0.05   3.07    0.2   2011-09-07
1032   2162635    WIYN      DSSI     880nm    0.05   1.93    0.2   2011-09-07
1050   5809890  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-03
1050   5809890  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-08-19
1050   5809890  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-08-20
1050   5809890  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-08-20
1050   5809890  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-20
1050   5809890    WIYN      DSSI     880nm    0.05   2.10    0.2   2012-10-03
1050   5809890    WIYN      DSSI     692nm    0.05   2.75    0.2   2012-10-03
1051   6131236  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-24
1052   5956342  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1053   5956656  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-27
1054   6032981    Keck     NIRC2        K'   99.99   5.68   0.03   2012-08-13
1054   6032981     MMT     ARIES        Ks    0.15   8.00    1.0   2011-10-09
1054   6032981  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-03
1054   6032981    WIYN      DSSI     692nm    0.05   3.43    0.2   2011-06-13
1054   6032981    WIYN      DSSI     880nm    0.05   2.68    0.2   2011-06-13
1058   6124941    Pal5     PHARO        Ks    0.23   4.88    0.5   2015-08-28
1059   6060203  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-22
1060   5880320  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1061   6037187  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
1061   6037187  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-08-20
1061   6037187  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-08-20
1061   6037187  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-20
1066   8260218    Keck     NIRC2        K'   99.99  99.99  99.99   2014-08-17
1066   8260218  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-21
1067   8246781    Keck     NIRC2        K'   99.99  99.99  99.99   2014-08-17
1067   8246781  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-23
1068   8264070    WIYN      DSSI     562nm    0.05   2.75    0.2   2010-06-22
1068   8264070    WIYN      DSSI     692nm    0.05   2.72    0.2   2010-06-22
1070   8240904  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-03
1072   8229696  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-21
1074  10272640  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-01
1078  10166274    Keck     NIRC2        K'    0.05   8.00    0.5   2013-07-06
1078  10166274    Keck     NIRC2        K'   99.99   7.00    0.5   2013-07-18
1078  10166274    Keck     NIRC2        K'   99.99   3.78   0.03   2013-07-18
1078  10166274  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-08-04
1081  10149023  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
1082  10141900  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-01
1083  10157458  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-22
1085  10118816     HST      WFC3     F555W    0.08   8.50    0.5   2012-10-27
1085  10118816     HST      WFC3     F775W    0.08   8.50    0.5   2012-10-27
1085  10118816    Keck     NIRC2        K'   99.99   7.80    0.5   2014-07-29
1085  10118816    Keck     NIRC2        K'   99.99   3.58   0.03   2014-07-29
1085  10118816  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-08-04
1086  10122255  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
1089   3247268  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1094   2721030  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1095   3329204  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-31
1096   3230491    CAHA  AstraLux        i'    0.10   3.55    0.5   2013-06-10
1096   3230491  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
1099   2853093  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-22
1101   3245969    Keck     NIRC2        K'    0.05   8.00    0.5   2013-08-23
1101   3245969  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-21
1102   3231341  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-08-05
1103   2860866  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1106   3240158  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-22
1108   3218908  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
1109   3235672  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-22
1110   2837111  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-21
1112   3109930    Keck     NIRC2        K'   99.99  99.99  99.99   2013-08-24
1112   3109930  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-27
1113   2854914  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-05
1115   3116412  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-05
1116   2849805    Lick     IRCAL         J    0.36   2.69    0.5   2011-09-11
1116   2849805  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-05
1116   2849805    WIYN      DSSI     880nm    0.05   2.05    0.2   2011-06-16
1116   2849805    WIYN      DSSI     692nm    0.05   2.75    0.2   2011-06-16
1117   3114811    Lick     IRCAL         J    0.50   2.35    0.5   2011-09-11
1117   3114811  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-05
1117   3114811  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
1117   3114811    WIYN      DSSI     880nm    0.05   2.50    0.2   2011-06-14
1117   3114811    WIYN      DSSI     692nm    0.05   2.90    0.2   2011-06-14
1118   2853446  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-05
1119   3003992    Pal5     PHARO        K'    0.11   6.00    0.5   2013-06-26
1119   3003992    Pal5     PHARO        Ks   99.99  99.99  99.99   2013-07-17
1119   3003992    Pal5     PHARO         J   99.99  99.99  99.99   2013-07-17
1119   3003992    WIYN      DSSI     692nm    0.05   3.06    0.2   2015-09-30
1119   3003992    WIYN      DSSI     880nm    0.05   2.45    0.2   2015-09-30
1121   6359798  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2012-09-14
1126   6307521     Gem      DSSI     692nm    0.02   4.08    0.2   2015-07-18
1126   6307521     Gem      DSSI     880nm    0.02   4.18    0.2   2015-07-18
1127   6359320  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-03
1128   6362874  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-05
1128   6362874    WIYN      DSSI     692nm    0.05   2.60    0.2   2013-05-28
1128   6362874    WIYN      DSSI     880nm    0.05   2.41    0.2   2013-05-28
1129   6272413  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-31
1137   8332986  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-13
1141   8346392  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-08-04
1142   8288947  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-31
1145   8313667  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-05
1146   8351704    Keck     NIRC2        K'   99.99   3.50   0.03   2014-07-30
1146   8351704    Keck     NIRC2        K'   99.99   7.40    0.5   2014-07-30
1146   8351704  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-07-15
1148   8410727  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-05
1150   8278371    Lick     IRCAL         J    0.42   2.31    0.5   2011-09-11
1150   8278371  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-05
1150   8278371    WIYN      DSSI     880nm    0.05   2.08    0.2   2011-06-16
1150   8278371    WIYN      DSSI     692nm    0.05   2.69    0.2   2011-06-16
1150   8278371    WIYN      DSSI     880nm    0.05   2.21    0.2   2013-09-24
1150   8278371    WIYN      DSSI     692nm    0.05   2.73    0.2   2013-09-24
1151   8280511    Keck     NIRC2        K'   99.99  99.99  99.99   2014-08-17
1151   8280511    Lick     IRCAL         J    0.63   1.89    0.5   2011-09-11
1151   8280511  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-05
1151   8280511    Pal5     PHARO        Ks    0.15   3.08    0.5   2014-07-17
1151   8280511    WIYN      DSSI     880nm    0.05   2.64    0.2   2015-09-27
1151   8280511    WIYN      DSSI     692nm    0.05   2.75    0.2   2015-09-27
1152  10287248  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-14
1159  10354039  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-22
1160  10330115  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-02
1161  10426656  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1162  10528068    Lick     IRCAL         J    0.40   2.63    0.5   2011-09-09
1162  10528068  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-04
1162  10528068    Pal5     PHARO        Ks    0.15   2.58    0.5   2014-07-16
1162  10528068    WIYN      DSSI     692nm    0.05   2.85    0.2   2011-06-14
1162  10528068    WIYN      DSSI     880nm    0.05   2.33    0.2   2011-06-14
1163  10468940  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1164  10341831    Keck     NIRC2        K'   99.99  99.99  99.99   2012-08-26
1164  10341831    Keck     NIRC2        K'   99.99   3.41   0.03   2013-07-18
1164  10341831  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2012-08-04
1165  10337517  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-05
1166  10351231  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
1168  10460629    Keck     NIRC2        Ks    0.04   2.38    0.5   2014-07-17
1168  10460629     LBT   LMIRCam        Ks   99.99  99.99  99.99   2014-10-02
1168  10460629  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-05
1168  10460629    WIYN      DSSI     880nm    0.05   2.31    0.2   2011-06-11
1169  10319385    Lick     IRCAL         J    0.64   1.90    0.5   2011-09-11
1169  10319385  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-05
1169  10319385  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-27
1169  10319385    WIYN      DSSI     692nm    0.05   2.78    0.2   2011-06-16
1169  10319385    WIYN      DSSI     880nm    0.05   2.00    0.2   2011-06-16
1170  10482160  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-03
1174  10287723    CAHA  AstraLux        i'    0.20   3.23    0.5   2013-06-20
1174  10287723    Keck     NIRC2        K'   99.99   7.50    0.5   2012-08-12
1174  10287723    Keck     NIRC2         J    0.04   8.00    0.5   2014-06-12
1174  10287723    Keck     NIRC2  Br-gamma    0.05   8.63    0.5   2014-06-12
1174  10287723    Keck     NIRC2        K'   99.99   4.63   0.03   2014-08-13
1174  10287723  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-07-29
1174  10287723    WIYN      DSSI     880nm    0.05   2.30    0.2   2011-06-11
1175  10350571    Lick     IRCAL         J    0.51   2.24    0.5   2011-09-11
1175  10350571  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-05
1175  10350571    Pal5     PHARO        Ks    0.15   2.40    0.5   2014-07-17
1175  10350571    WIYN      DSSI     692nm    0.05   2.81    0.2   2011-06-16
1175  10350571    WIYN      DSSI     880nm    0.05   1.54    0.2   2011-06-16
1176   3749365  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
1187   3848972    CAHA  AstraLux        i'    0.17   3.40    0.5   2013-06-20
1187   3848972  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
1192   3644071    CAHA  AstraLux        i'    0.44   2.79    0.5   2011-06-06
1192   3644071  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-07-29
1192   3644071    WIYN      DSSI     692nm    0.05   3.04    0.2   2011-09-09
1192   3644071    WIYN      DSSI     880nm    0.05   2.26    0.2   2011-09-09
1193   3942446  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-26
1194   3554031  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1196   3348082  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-16
1198   3447722  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-03
1199   3859079  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-23
1199   3859079    WIYN      DSSI     692nm    0.05   2.56    0.2   2012-09-30
1199   3859079    WIYN      DSSI     880nm    0.05   2.13    0.2   2012-09-30
1201   4061149    Keck     NIRC2        K'   99.99   7.30    0.5   2014-07-30
1201   4061149    Keck     NIRC2        K'   99.99   3.97   0.03   2014-07-30
1201   4061149  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2012-08-04
1202   3444588  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-08-04
1203   3962243  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-03
1204   3438507  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-11-08
1205   3869014  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
1206   3756801    Keck     NIRC2        Ks    0.04   5.18    0.5   2014-07-17
1206   3756801    Keck     NIRC2  Br-gamma    0.06   8.23    0.5   2014-09-04
1206   3756801  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-06
1206   3756801  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
1206   3756801    WIYN      DSSI     692nm    0.05   2.60    0.2   2012-09-29
1206   3756801    WIYN      DSSI     880nm    0.05   2.18    0.2   2012-09-29
1207   3732821  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-01
1208   3962440  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1208   3962440    WIYN      DSSI     692nm    0.05   2.51    0.2   2011-09-07
1208   3962440    WIYN      DSSI     880nm    0.05   2.04    0.2   2011-09-07
1209   3534076  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-21
1209   3534076    Pal5     PHARO        Ks    0.13   5.73    0.5   2015-08-29
