 KOI  KICID     Telescope Instrument  Band    PSF  delta(m)   d    Obsdate
  13   9941662    WIYN      DSSI     880nm    0.05   3.09    0.2   2011-06-11
  13   9941662    WIYN      DSSI     692nm    0.05   4.11    0.2   2011-06-11
  13   9941662    WIYN      DSSI     880nm    0.05   3.09    0.2   2011-06-11
  13   9941662    WIYN      DSSI     692nm    0.05   3.31    0.2   2011-09-07
  13   9941662    WIYN      DSSI     880nm    0.05   2.72    0.2   2011-09-07
  13   9941662    WIYN      DSSI     880nm    0.05   2.55    0.2   2012-09-27
  13   9941662    WIYN      DSSI     692nm    0.05   2.61    0.2   2012-09-27
  13   9941662    WIYN      DSSI     880nm    0.05   2.72    0.2   2013-05-28
  13   9941662    WIYN      DSSI     692nm    0.05   3.43    0.2   2013-05-28
  13   9941662    WIYN      DSSI     880nm    0.05   2.91    0.2   2013-09-21
  13   9941662    WIYN      DSSI     692nm    0.05   3.87    0.2   2013-09-21
  13   9941662    WIYN      DSSI     692nm    0.05   2.74    0.2   2013-09-23
  13   9941662    WIYN      DSSI     880nm    0.05   3.25    0.2   2013-09-23
  14   7684873    Pal5     PHARO         J    0.11   6.00    0.5   2013-06-26
  14   7684873    Pal5     PHARO        Ks    0.11   6.00    0.5   2013-06-26
  17  10874614  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
  17  10874614    Pal5     PHARO         J    0.11   6.09    0.5   2009-09-07
  18   8191672     Gem      DSSI     880nm    0.02   3.43    0.2   2012-07-27
  18   8191672     Gem      DSSI     692nm    0.02   3.43    0.2   2012-07-27
  18   8191672  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
  18   8191672    Pal5     PHARO         J    0.22   4.80    0.5   2009-09-07
  18   8191672    Pal5     PHARO         J    0.08   6.56    0.5   2009-09-08
  18   8191672    Pal5     PHARO         J    0.10   6.64    0.5   2009-09-09
  18   8191672    Pal5     PHARO         J    0.10   8.00    1.0   2009-09-10
  20  11804465  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
  20  11804465    Pal5     PHARO         J    0.10   6.18    0.5   2009-09-07
  20  11804465    WIYN      DSSI     562nm    0.05   1.83    0.2   2010-06-19
  20  11804465    WIYN      DSSI     692nm    0.05   3.08    0.2   2010-06-19
  22   9631995  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
  22   9631995    Pal5     PHARO         J    0.09   6.00    0.5   2009-09-07
  22   9631995    WIYN      DSSI     692nm    0.05   2.92    0.2   2010-06-22
  22   9631995    WIYN      DSSI     562nm    0.05   3.42    0.2   2010-06-22
  28   4247791    Pal5     PHARO         J    0.07   6.92    0.5   2009-09-08
  28   4247791    WIYN      DSSI     562nm    0.05   3.19    0.2   2010-09-17
  28   4247791    WIYN      DSSI     692nm    0.05   3.26    0.2   2010-09-17
  31   6956014    Pal5     PHARO        Ks    0.11   6.00    0.5   2013-06-28
  33   5725087    Pal5     PHARO        K'    0.11   6.00    0.5   2013-06-26
  41   6521045    CAHA  AstraLux        i'    0.58   2.32    0.5   2013-06-22
  41   6521045    Keck     NIRC2        K'   99.99   4.23   0.03   2012-07-08
  41   6521045    Keck     NIRC2        K'   99.99   7.90    0.5   2012-07-08
  41   6521045    Keck     NIRC2        K'   99.99   6.50    0.5   2012-07-08
  41   6521045    Keck     NIRC2        K'    0.10   8.00    1.0   2013-06-13
  41   6521045     MMT     ARIES        Ks    0.15   8.00    1.0   2010-05-04
  41   6521045     MMT     ARIES         J    0.20   8.00    1.0   2010-05-04
  41   6521045  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
  41   6521045    Pal5     PHARO         J    0.06   6.97    0.5   2009-09-08
  41   6521045    WIYN      DSSI     562nm    0.05   1.69    0.2   2010-06-18
  41   6521045    WIYN      DSSI     692nm    0.05   3.76    0.2   2010-06-18
