 KOI   ID  KICID(primary) KICID(companion)  d["]   d_unc  PA[deg]  PA_unc   U        U_unc     B        B_unc     V        V_unc    F555W   F555W_unc  F775W   F775W_unc   i        i_unc     z       z_unc      LP600  LP600_unc   562    562_unc     692    692_unc     880    880_unc     J        J_unc     H        H_unc     K        K_unc
   44   B      8845026     8845026_blend   3.356   0.068   124.7    1.3    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.983    0.021     3.803    0.032     3.825    0.010
   45   B      3742855     3742855_blend   3.140   0.050    36.8    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.407    0.087    99.990   99.990    99.990   99.990
   45   C      3742855     3742855_blend   3.964   0.051    72.9    2.3    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    -2.503    0.021    -2.092    0.151    99.990   99.990
   51   B      6056992     6056992_blend   3.510   0.050   161.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.630    0.070    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
   53   B      2445975           2445980   3.315   0.050    95.5    1.0    -0.952    0.035    -0.579    0.036    -0.378    0.027    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    -0.099    0.010    99.990   99.990    99.990   99.990
   53   C      2445975           2445972   3.381   0.050   210.9    1.0     1.170    0.047     0.695    0.037     0.500    0.028    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    -0.295    0.010    99.990   99.990    99.990   99.990
   68   B      8669092     8669092_blend   0.735   0.052   256.5    2.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.131    0.348     2.874    0.150    99.990   99.990     2.025    0.070    99.990   99.990     1.800    0.020
   68   C      8669092     8669092_blend   2.738   0.060   256.7    4.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.166    0.090    99.990   99.990     6.200    0.020
   68   D      8669092     8669092_blend   3.406   0.053   352.4    3.6    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.498    0.229    99.990   99.990     5.800    0.020
   69   B      3544595     3544595_blend   2.288   0.050   234.5    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    10.282    0.118
   70   B      6850504     6850504_blend   3.778   0.053    52.7    1.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.444    0.018    99.990   99.990     4.140    0.025
   72   B     11904151    11904151_blend   2.000   0.050   296.4    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.844    0.048
   75   B      7199397     7199397_blend   3.464   0.066   127.2    2.1    99.990   99.990     6.594    0.066    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.652    0.097    99.990   99.990     6.507    0.024
   84   B      2571238     2571238_blend   3.070   0.050   231.9    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     8.981    0.118
   85   B      5866724     5866724_blend   2.940   0.075   302.4    2.3    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     8.198    0.064
   97   B      5780885     5780885_blend   1.903   0.050   105.1    3.7    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.610    0.520    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.000    0.020    99.990   99.990     4.000    0.020
   98   B     10264660    10264660_blend   0.287   0.050   144.0    1.9    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.100    0.160    99.990   99.990    99.990   99.990     0.690    0.375     0.656    0.253     0.594    0.301     0.374    0.061    99.990   99.990     0.425    0.052
   99   B      8505215     8505215_blend   3.476   0.088    48.9    2.4    99.990   99.990    99.990   99.990     5.593    0.072    99.990   99.990    99.990   99.990     8.268    0.620    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.168    0.150    99.990   99.990     5.129    0.013
  100   B      4055765     4055765_blend   2.297   0.050   141.2    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.099    0.046    99.990   99.990
  102   B      8456679     8456679_blend   2.843   0.052   222.8    1.4    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.101    0.011    99.990   99.990    99.990   99.990
