 KOI   ID  KICID(primary) KICID(companion)  d["]   d_unc  PA[deg]  PA_unc   U        U_unc     B        B_unc     V        V_unc    F555W   F555W_unc  F775W   F775W_unc   i        i_unc     z       z_unc      LP600  LP600_unc   562    562_unc     692    692_unc     880    880_unc     J        J_unc     H        H_unc     K        K_unc
 1619   C      4276716     4276716_blend   2.052   0.069   226.7    1.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.820    0.180    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.059    0.126    99.990   99.990     2.063    0.029
 1620   B      6468337     6468337_blend   3.634   0.050   132.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     8.293    0.350    99.990   99.990    99.990   99.990
 1625   B      6312314     6312314_blend   2.670   0.050    63.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.070    0.043    99.990   99.990    99.990   99.990
 1625   C      6312314     6312314_blend   3.733   0.050   127.6    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.425    0.155    99.990   99.990    99.990   99.990
 1627   B      6543893           6543902   3.352   0.050    87.9    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.222    0.010    99.990   99.990    99.990   99.990
 1630   B      9017682     9017682_blend   1.685   0.130   186.8    2.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.910    0.020    99.990   99.990    99.990   99.990    99.990   99.990     2.233    0.018    99.990   99.990    99.990   99.990
 1636   B     10621666    10621666_blend   2.890   0.116   330.0    1.0    99.990   99.990     3.452    0.091     3.309    0.063    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.609    0.014    99.990   99.990    99.990   99.990
 1636   C     10621666    10621666_blend   3.292   0.155    44.9    1.6    99.990   99.990    99.990   99.990     3.731    0.064    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.184    0.023    99.990   99.990    99.990   99.990
 1656   B      4471747     4471747_blend   1.060   0.050   189.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.650    0.090    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1660   B      4830605     4830605_blend   1.400   0.050    23.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.000    0.080    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1660   C      4830605     4830605_blend   3.437   0.050   252.8    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.201    0.076    99.990   99.990    99.990   99.990
 1661   B      4832197     4832197_blend   1.003   0.050    67.5    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.577    0.010    99.990   99.990    99.990   99.990
 1663   B      4927315     4927315_blend   3.649   0.050   136.3    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.862    0.339    99.990   99.990    99.990   99.990
 1664   B      4928119     4928119_blend   3.578   0.050   302.2    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.083    0.061    99.990   99.990    99.990   99.990
 1671   B      5195172     5195172_blend   3.442   0.050    85.7    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.033    0.033    99.990   99.990    99.990   99.990
 1673   B      5271608     5271608_blend   3.113   0.050    46.5    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.592    0.108    99.990   99.990    99.990   99.990
 1674   B      5357470     5357470_blend   3.844   0.050   155.6    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.524    0.074    99.990   99.990    99.990   99.990
 1676   B      5443775     5443775_blend   3.671   0.050   328.5    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.586    0.014    99.990   99.990    99.990   99.990
 1677   B      5526717     5526717_blend   0.600   0.052   159.8    1.5    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.760    0.440    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.480    0.020
 1681   B      5531953     5531953_blend   0.147   0.050   141.3    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.970    0.150     0.400    0.150    99.990   99.990    99.990   99.990     0.069    0.016
 1686   B      6149553     6149553_blend   0.022   0.050    40.9    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.284    0.054
 1686   C      6149553     6149553_blend   3.484   0.050   261.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990     7.863    0.053     7.863    0.034    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.298    0.086
 1686   D      6149553     6149553_blend   3.861   0.092   345.4    1.5    99.990   99.990    99.990   99.990    99.990   99.990     5.459    0.027     5.894    0.019    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.411    0.171    99.990   99.990     6.135    0.037
 1687   B      6198999     6198999_blend   2.110   0.050   209.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.100    0.160    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1689   B      6312534     6312534_blend   2.628   0.050   171.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.029    0.110    99.990   99.990    99.990   99.990
 1689   C      6312534     6312534_blend   3.831   0.050    54.5    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.831    0.081    99.990   99.990    99.990   99.990
 1692   B      6616218     6616218_blend   2.111   0.050   171.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     8.612    0.169
 1692   C      6616218     6616218_blend   3.149   0.065   337.8    1.7    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.994    0.279     6.404    0.038     6.574    0.223
 1694   B      6699368     6699368_blend   2.802   0.050   180.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.173    0.352    99.990   99.990    99.990   99.990
 1695   B      6803855     6803855_blend   0.310   0.050   215.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.610    0.260    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1699   B      7137725     7137725_blend   2.798   0.050   313.8    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.263    0.242    99.990   99.990    99.990   99.990
 1700   B      7220429     7220429_blend   0.282   0.051   288.5    1.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.070    0.260    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.550    0.060
 1706   B      7626370     7626370_blend   2.820   0.119    11.8    1.3    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.595    0.137     5.180    0.038    99.990   99.990
 1712   B      8162790           8162789   3.371   0.065   331.9    1.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    -0.283    0.013    99.990   99.990    -0.213    0.069
 1717   B      9895006     9895006_blend   0.870   0.050   305.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.460    0.130    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1723   B     10213902    10213902_blend   3.059   0.050    87.7    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.131    0.113    99.990   99.990    99.990   99.990
 1729   B      6603756     6603756_blend   3.829   0.050   212.2    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.312    0.054    99.990   99.990    99.990   99.990
 1736   B      6604328     6604328_blend   3.412   0.050    24.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.760    0.172    99.990   99.990    99.990   99.990
 1738   B      4365645     4365645_blend   2.032   0.057   153.4    2.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.902    0.044     6.035    0.011
 1738   C      4365645     4365645_blend   3.823   0.122     3.3    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.386    0.068     7.451    0.033
 1740   B      6762829     6762829_blend   3.098   0.050   265.7    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.059    0.021    99.990   99.990    99.990   99.990
 1751   B      9729691     9729691_blend   2.840   0.050   200.3    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.648    0.440    99.990   99.990    99.990   99.990
 1757   B      4851464     4851464_blend   3.028   0.050    76.9    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.339    0.244    99.990   99.990    99.990   99.990
 1762   B      5387843     5387843_blend   3.837   0.050   352.5    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.042    0.069    99.990   99.990    99.990   99.990
 1766   B      3654950     3654950_blend   3.837   0.050   333.5    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.938    0.045    99.990   99.990    99.990   99.990
 1771   B     11342573    11342573_blend   3.646   0.050    39.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.869    0.167    99.990   99.990    99.990   99.990
 1777   B      5110423     5110423_blend   2.300   0.050   329.3    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.731    0.311    99.990   99.990    99.990   99.990
 1780   B      5450814     5450814_blend   3.665   0.050   226.7    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.621    0.126    99.990   99.990    99.990   99.990
 1781   B     11551692    11551692_blend   3.449   0.059   332.2    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.653    0.037    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.576    0.095     2.426    0.040     2.320    0.021
 1784   B     10158418    10158418_blend   0.290   0.055   288.4    2.6    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.580    0.130    99.990   99.990    99.990   99.990    99.990   99.990     0.900    0.100     0.800    0.100     0.758    0.071
 1792   B      8552719     8552719_blend   0.511   0.064   299.0    3.9    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.060    0.160    99.990   99.990     2.408    0.150     2.300    0.150    99.990   99.990    99.990   99.990     1.998    0.023
 1792   C      8552719     8552719_blend   1.959   0.063   111.0    2.3    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.980    0.050    99.990   99.990    99.990   99.990    99.990   99.990     1.360    0.010    99.990   99.990     1.398    0.023
 1793   B      5731623     5731623_blend   2.931   0.050    55.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.297    0.147    99.990   99.990    99.990   99.990
 1794   B      6153672     6153672_blend   3.809   0.050    57.5    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.573    0.025    99.990   99.990    99.990   99.990
 1798   B      6867766     6867766_blend   3.827   0.056   185.4    1.3    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.750    0.210    99.990   99.990    99.990   99.990    99.990   99.990     3.606    0.052    99.990   99.990    99.990   99.990
 1800   B     11017901    11017901_blend   3.935   0.050    43.4    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.578    0.056
 1804   B     11187436    11187436_blend   2.756   0.182   167.6    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.840    0.030    99.990   99.990    99.990   99.990    99.990   99.990     3.262    0.052    99.990   99.990    99.990   99.990
 1806   B      9529744     9529744_blend   3.430   0.050   249.7    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.450    0.100
 1812   B      6279974     6279974_blend   2.325   0.091   297.9    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.269    0.086    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.000    0.023    99.990   99.990     3.600    0.100
 1812   C      6279974     6279974_blend   2.695   0.050   114.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.512    0.670    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1818   B      7870032     7870032_blend   2.355   0.050   231.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.295    0.038    99.990   99.990    99.990   99.990
 1820   B      8277797     8277797_blend   3.680   0.050   180.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.368    0.091    99.990   99.990    99.990   99.990
 1821   B      8832512     8832512_blend   3.804   0.050    90.6    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.169    0.087    99.990   99.990    99.990   99.990
 1829   B      7697568     7697568_blend   3.723   0.050   234.6    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.759    0.130    99.990   99.990    99.990   99.990
 1830   B      3326377     3326377_blend   0.458   0.050   318.6    1.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.290    0.170    99.990   99.990    99.990   99.990    99.990   99.990     1.753    0.032    99.990   99.990     1.368    0.030
 1831   B     11601584    11601584_blend   1.928   0.050   312.5    1.0    99.990   99.990    99.990   99.990    99.990   99.990     9.164    0.113     8.345    0.049    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1831   C     11601584    11601584_blend   2.234   0.050    17.7    1.0    99.990   99.990    99.990   99.990    99.990   99.990     7.900    0.044     6.491    0.021    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1831   D     11601584    11601584_blend   2.748   0.050    82.8    1.0    99.990   99.990    99.990   99.990    99.990   99.990     9.044    0.086     7.361    0.029    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1833   B     11853878    11853878_blend   0.017   0.050    75.9    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.443    0.456
 1835   B      9471268     9471268_blend   0.051   0.050   170.5    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.026    0.010
 1835   C      9471268     9471268_blend   1.438   0.050   136.4    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.363    0.056
 1841   B     11760231    11760231_blend   0.306   0.050    74.7    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.099    0.010
 1843   B      5080636     5080636_blend   3.115   0.050   267.6    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.190    0.032
 1845   B      3338885     3338885_blend   1.991   0.073    78.7    1.4    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.970    0.600    99.990   99.990    99.990   99.990    99.990   99.990     3.036    0.010     3.051    0.026     2.890    0.060
 1845   C      3338885     3338885_blend   2.917   0.078   346.5    1.4    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.604    0.051     4.826    0.042     4.400    0.090
 1846   B      9886255           9886258   3.784   0.052   140.4    2.3    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.070    0.030    99.990   99.990    99.990   99.990    99.990   99.990     0.752    0.081     0.493    0.074     0.465    0.095
 1850   B      8826168     8826168_blend   3.593   0.050   291.8    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.019    0.140    99.990   99.990    99.990   99.990
 1852   B      9763348     9763348_blend   2.549   0.064   260.7    1.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.173    0.140     4.589    0.031    99.990   99.990
 1853   B      8804397     8804397_blend   0.963   0.050   304.4    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.240    0.050    99.990   99.990     2.130    0.150    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1857   B     11297236    11297236_blend   0.164   0.050    11.3    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.010    0.150    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1861   B      3648437     3648437_blend   2.100   0.050    84.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.930    0.160    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990
 1878   B      3098810     3098810_blend   2.539   0.050    98.6    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.597    0.051    99.990   99.990
 1879   B      8367644     8367644_blend   1.526   0.050   346.8    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.573    0.089
 1880   B     10332883    10332883_blend   1.685   0.063   100.0    1.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.660    0.450    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.922    0.027     4.279    0.010
 1884   B      4851530     4851530_blend   0.942   0.051    95.5    1.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.650    0.640    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.310    0.060
 1884   C      4851530     4851530_blend   1.838   0.050    82.0    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.730    0.060
 1884   D      4851530     4851530_blend   2.560   0.051   326.4    1.3    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.148    0.293    99.990   99.990     3.200    0.140
 1884   E      4851530     4851530_blend   3.682   0.050   202.9    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.182    0.218    99.990   99.990    99.990   99.990
 1890   B      7449136     7449136_blend   0.409   0.050   144.3    1.5    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.440    0.210    99.990   99.990    99.990   99.990    99.990   99.990     2.900    0.150     2.770    0.150    99.990   99.990    99.990   99.990     2.038    0.012
 1891   B      8680979     8680979_blend   2.079   0.052   210.5    1.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.460    0.600    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.600    0.070
 1893   B      8689793     8689793_blend   3.111   0.050   319.4    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.859    0.142    99.990   99.990    99.990   99.990
 1899   B      7047922     7047922_blend   1.844   0.050   342.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.940    0.050    99.990   99.990    99.990   99.990    99.990   99.990     0.501    0.010    99.990   99.990    99.990   99.990
 1901   B      3629967           3629972   3.848   0.051   105.7    1.3    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.697    0.010     1.345    0.048     1.253    0.050
 1902   B      5809954     5809954_blend   0.031   0.050    27.4    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     1.944    0.084
 1908   B      5706966     5706966_blend   1.269   0.055   259.4    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.110    0.130    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.848    0.035     3.221    0.010
