 KOI   KICID      CP   PC   FP     Rp_min   KOI_Rp  Teq_min KOI_Teq    Kepmag      V         Ks     Observatories
 107   11250587    1    0    0       3.4    107.01   1167    107.01     12.70     12.91     11.34   Lick,Pal1.5,WIYN
 108    4914423    2    0    0       3.1    108.01    385    108.02     12.29     12.47     10.87   Keck,Pal1.5,Pal5,WIYN
 109    4752451    0    0    1      60.7    109.01   1229    109.01     12.39     12.57     10.98   Pal5
 110    9450647    1    0    0       2.8    110.01   1032    110.01     12.66     12.74     11.46   Lick,Pal1.5,WIYN
 111    6678383    3    0    1       3.1    111.02    588    111.03     12.60     12.74     11.21   CAHA,Pal1.5,Pal5,WIYN
 112   10984090    2    0    0       1.2    112.02    516    112.01     12.77     12.98     11.37   Gem,Keck,Pal1.5,Pal5,WIYN
 113    2306756    0    0    1      41.5    113.01    297    113.01     12.39     12.64     10.72   Pal1.5,Pal5,WIYN
 114    6721123    0    0    1      35.3    114.01   1342    114.01     12.66     12.82     11.40   WIYN
 115    9579641    2    1    0       0.6    115.03   1191    115.02     12.79     13.02     11.50   CAHA,Gem,MMT,Pal1.5,WIYN
 116    8395660    4    0    0       0.9    116.03    538    116.02     12.88     13.06     11.43   Keck,MMT,Pal1.5,WIYN
 117   10875245    4    0    0       1.1    117.04    875    117.01     12.49     12.70     11.06   Keck,Pal1.5,Pal5,WIYN
 118    3531558    1    0    0       2.3    118.01    719    118.01     12.38     12.59     10.90   Gem,Keck,Pal1.5,Pal5,WIYN
 119    9471974    2    0    0       8.1    119.02    449    119.02     12.65     12.80     10.98   Keck,Lick,Pal1.5,Pal5,WIYN
 120   11869052    0    1    0      31.1    120.01    732    120.01     12.00     12.65     10.83   WIYN
 121    3247396    0    0    1     191.9    121.01   1399    121.01     12.76     12.94     11.44   Pal5
 122    8349582    1    0    0       3.1    122.01    934    122.01     12.35     12.54     10.80   Keck,Pal1.5,Pal5,WIYN
 123    5094751    2    0    0       2.3    123.01    774    123.02     12.36     12.52     11.00   Keck,Pal1.5,Pal5,WIYN
 124   11086270    2    0    0       3.0    124.01    786    124.02     12.94     13.07     11.62   Pal1.5,Pal5,WIYN
 125   11449844    1    0    0      13.4    125.01    484    125.01     13.78     13.97     12.03   WIYN
 126    5897826    0    2    0       1.2    126.02    745    126.01     13.11     13.32     11.64   Pal1.5,Pal5,WIYN
 127    8359498    1    0    0      10.4    127.01   1144    127.01     13.94     14.20     12.36   Pal1.5,Pal5,WIYN
 128   11359879    1    0    0      10.8    128.01   1008    128.01     13.76     13.96     12.22   Keck,Pal1.5,WIYN
 130    5297298    0    1    0      22.3    130.01    778    130.01     13.32     13.44     11.87   WIYN
 131    7778437    1    0    0      10.5    131.01   1284    131.01     13.80     14.03     12.56   CAHA,Keck,Pal1.5,WIYN
 134    9032900    0    0    1      12.3    134.01    588    134.01     13.68     13.87     12.32   Pal1.5
 135    9818381    1    0    0      12.1    135.01   1475    135.01     13.96     14.08     12.55   Keck,Pal1.5,WIYN
 137    8644288    3    0    0       2.1    137.03    720    137.02     13.55     13.85     11.76   Keck,Pal1.5,Pal5,WIYN
 138    8506766    0    1    0      26.2    138.01    771    138.01     13.96     14.09     12.72   Pal1.5
 139    8559644    2    0    0       1.8    139.02    323    139.01     13.49     13.61     12.11   CAHA,Keck,Lick,Pal1.5,WIYN
 141   12105051    0    1    0       5.1    141.01   1153    141.01     13.69     14.08     11.99   Keck,MMT,Pal1.5,WIYN
 142    5446285    1    0    1       3.9    142.01    758    142.01     13.11     13.39     11.45   Keck,Lick,Pal1.5,WIYN
 144    4180280    1    0    0       3.2    144.01    878    144.01     13.70     14.16     11.46   Keck,Pal1.5,WIYN
 148    5735762    3    0    0       1.9    148.01    443    148.03     13.04     13.38     11.22   Keck,Pal1.5,Pal5,WIYN
 149    3835670    1    0    0       5.0    149.01    932    149.01     13.40     13.64     11.73   CAHA,Pal1.5
 150    7626506    2    0    0       2.7    150.01    608    150.02     13.77     14.01     12.15   Pal1.5
 151    2307199    0    1    0       5.1    151.01    848    151.01     14.00     14.17     12.55   Pal1.5
 152    8394721    4    0    0       2.2    152.04    467    152.04     13.91     14.11     12.61   CAHA,Keck,Pal1.5,Pal5,WIYN
 153   12252424    2    0    0       1.9    153.02    624    153.01     13.46     13.88     11.26   Keck,MMT,Pal1.5,Pal5,WIYN
 155    8030148    1    0    0       3.8    155.01   1190    155.01     13.49     13.72     11.91   Pal1.5
 156   10925104    3    0    0       1.0    156.02    447    156.03     13.74     14.22     11.37   CAHA,Keck,Pal1.5,WIYN
 157    6541920    6    0    0       1.9    157.06    376    157.05     13.71     13.91     12.18   Keck,Pal1.5,Pal5,WIYN
 159    8972058    2    0    0       1.0    159.02    939    159.01     13.43     13.62     11.97   MMT,Pal1.5,WIYN
 161    5084942    1    0    0       2.7    161.01   1016    161.01     13.34     13.77     11.24   Keck,Pal1.5,WIYN
 162    8107380    1    0    0       2.8    162.01    767    162.01     13.84     14.06     12.30   Pal1.5
 163    6851425    1    0    0       1.8    163.01    636    163.01     13.54     13.95     11.73   Pal1.5
 165    9527915    1    0    0       2.9    165.01    667    165.01     13.94     14.27     12.01   Pal1.5
 166    2441495    1    0    0       2.0    166.01    642    166.01     13.57     13.85     11.72   Pal1.5
 167   11666881    1    0    0       2.4    167.01   1264    167.01     13.27     13.49     12.06   Lick,Pal1.5,WIYN
 168   11512246    3    0    0       1.9    168.03    910    168.02     13.44     13.64     12.00   Lick,Pal1.5,Pal5,WIYN
 171    7831264    2    0    0       1.9    171.02    912    171.02     13.72     13.97     12.38   Pal1.5,WIYN
 172    8692861    2    0    0       1.7    172.02    286    172.02     13.75     14.03     12.23   Gem,Keck,Pal1.5
 173   11402995    1    0    0       2.9    173.01    946    173.01     13.84     14.04     12.38   Pal1.5
 174   10810838    1    0    0       2.2    174.01    333    174.01     13.78     14.17     11.54   Keck,MMT,Pal1.5,WIYN
 176    6442377    1    0    0       2.3    176.01    679    176.01     13.43     13.73     12.22   Pal1.5
 177    6803202    0    1    0       1.9    177.01    685    177.01     13.18     13.40     11.64   Keck,Lick,Pal1.5,WIYN
 179    9663113    2    0    0       3.3    179.01    232    179.02     13.95     14.14     12.50   Keck,Pal1.5
 180    9573539    1    0    0       2.3    180.01    782    180.01     13.02     13.26     11.48   Pal1.5,Pal5
 183    9651668    1    0    0      12.4    183.01   1291    183.01     14.29     14.50     12.78   Pal1.5
 186   12019440    1    0    0      13.6    186.01   1299    186.01     14.95     15.10     13.43   Pal1.5
 188    5357901    1    0    0       9.9    188.01    972    188.01     14.74     15.08     12.81   Pal1.5
 189   11391018    1    0    0      11.3    189.01    459    189.01     14.39     14.74     12.29   Keck,Pal1.5
 190    5771719    0    0    1      15.8    190.01    875    190.01     14.14     14.38     12.40   Keck,Pal1.5,WIYN
 191    5972334    2    2    0       1.2    191.03    504    191.04     14.99     15.32     13.25   CAHA,Pal1.5,WIYN
 192    7950644    1    0    0       9.8    192.01    884    192.01     14.22     14.41     12.78   Pal1.5
 193   10799735    0    0    1      14.8    193.01    573    193.01     14.90     15.16     13.48   Pal1.5
 195   11502867    1    0    0      11.7    195.01   1200    195.01     14.84     15.02     13.21   Pal1.5,WIYN
 196    9410930    1    0    0      10.2    196.01   1436    196.01     14.47     14.69     12.89   CAHA,Pal1.5,WIYN
 197    2987027    1    0    0       8.3    197.01    587    197.01     14.02     14.40     11.96   Keck,Pal1.5,WIYN
 199   10019708    1    0    1      12.1    199.01   1422    199.01     14.88     15.07     13.47   CAHA,Pal1.5
 200    6046540    1    0    0      14.4    200.01   1155    200.01     14.41     14.62     12.96   Pal1.5,WIYN
 201    6849046    1    0    0       9.2    201.01   1118    201.01     14.01     14.21     12.35   Keck,Pal1.5,WIYN
 202    7877496    1    0    0      12.5    202.01   1681    202.01     14.31     14.47     12.84   Pal1.5
 203   10619192    1    0    0      14.8    203.01   1561    203.01     14.14     14.41     12.59   Pal1.5,WIYN
 204    9305831    1    0    0      12.7    204.01   1460    204.01     14.68     15.06     12.88   Pal1.5,WIYN
 205    7046804    1    0    0       8.1    205.01    660    205.01     14.52     14.85     12.66   Keck,Pal1.5,WIYN
 206    5728139    1    0    0       7.9    206.01   1149    206.01     14.46     14.68     12.83   Pal1.5,WIYN
 208    3762468    1    0    0      11.4    208.01   1433    208.01     15.00     15.29     13.73   Pal1.5
 209   10723750    2    0    0       6.0    209.02    580    209.01     14.27     14.58     13.01   CAHA,Pal1.5,WIYN
 211   10656508    0    1    0      10.4    211.01    414    211.01     14.99     15.18     13.59   CAHA,Pal1.5
 212    6300348    0    1    0       6.9    212.01   1043    212.01     14.86     15.03     13.34   CAHA,Pal1.5
 214   11046458    1    0    0       9.1    214.01   1158    214.01     14.26     14.50     12.47   Keck,Pal1.5,WIYN
 215   12508335    0    1    0      56.7    215.01    520    215.01     14.71     14.94     13.04   WIYN
 216    6152974    2    0    0       1.7    216.02    619    216.01     14.71     15.05     12.71   Keck,Pal1.5,WIYN
 217    9595827    1    0    0      13.1    217.01   1046    217.01     15.13     15.39     13.47   Pal1.5,WIYN
 219    6305192    1    0    0       4.0    219.01    760    219.01     14.15     14.39     12.47   Pal1.5,WIYN
 220    7132798    2    0    0       0.9    220.02   1017    220.02     14.24     14.47     12.58   Pal1.5
 221    3937519    1    1    0       0.8    221.02    822    221.02     14.62     14.90     12.81   Keck,Pal1.5,WIYN
 222    4249725    2    0    0       1.6    222.02    455    222.02     14.73     15.22     12.31   Pal1.5,WIYN
 223    4545187    2    0    0       2.5    223.01    430    223.02     14.71     15.02     12.80   Pal1.5,WIYN
 224    5547480    0    0    1      49.6    224.01   1173    224.01     14.78     15.06     13.24   WIYN
 225    5801571    0    1    0      31.7    225.01   2013    225.01     14.78     14.94     13.41   Pal1.5
 226    5959753    1    0    0       2.0    226.01    700    226.01     14.82     15.15     12.91   Pal1.5
 227    6185476    0    1    0       2.5    227.01    350    227.01     14.27     14.94     11.49   Keck,Pal1.5,WIYN
 232    4833421    5    0    0       1.5    232.03    487    232.05     14.25     14.44     12.83   CAHA,Keck,Pal1.5
 234    8491277    1    0    0       3.5    234.01    931    234.01     14.28     14.50     12.76   Pal1.5
 235    8107225    1    0    0       2.1    235.01    841    235.01     14.35     14.67     12.40   Pal1.5,Pal5
 237    8041216    1    0    0       2.6    237.01    906    237.01     14.18     14.44     12.59   Pal1.5
 238    7219825    2    0    1       1.3    238.02    669    238.02     14.06     14.23     12.65   CAHA,Keck,Pal1.5,WIYN
 239    6383785    1    1    0       1.5    239.02   1085    239.01     14.76     14.96     13.34   Pal1.5
 240    8026752    1    0    0       4.1    240.01   1209    240.01     14.98     15.23     13.59   Pal1.5
 241   11288051    3    0    0       0.8    241.03    446    241.02     14.14     14.44     12.23   Pal1.5
 242    3642741    1    0    0       5.7    242.01    879    242.01     14.75     15.01     13.05   Keck,Pal1.5
 244    4349452    2    0    0       2.6    244.02    941    244.01     10.73     10.93      9.49   Keck,Pal1.5,Pal5,WIYN
 245    8478994    4    0    0       0.3    245.03    401    245.04      9.70      9.81      7.94   CAHA,Gem,Keck,MMT,Pal1.5,Pal5,WIYN
 246   11295426    2    0    0       0.9    246.02    946    246.02     10.00     10.38      8.59   Keck,MMT,Pal1.5,WIYN
 247   11852982    0    1    0       2.0    247.01    385    247.01     14.22     15.02     11.12   Keck,Pal1.5,Pal5,WIYN
 248    5364071    4    0    0       1.3    248.04    359    248.04     15.26     15.96     12.38   Keck,Pal1.5,WIYN
 249    9390653    1    0    0       1.8    249.01    372    249.01     14.49     15.50     11.15   Keck,Pal1.5,Pal5
 250    9757613    4    0    0       1.2    250.03    273    250.04     15.47     16.08     12.63   Keck,Pal1.5,WIYN
 251   10489206    2    0    0       0.9    251.02    535    251.02     14.75     15.55     11.68   Keck,Pal1.5,Pal5,WIYN
 252   11187837    0    0    1       2.6    252.01    355    252.01     15.61     16.49     12.55   Keck,Pal1.5,WIYN
 253   11752906    0    2    0       1.4    253.02    354    253.02     15.25     16.03     12.29   Keck,Pal1.5,WIYN
 254    5794240    1    0    0      11.0    254.01    730    254.01     15.98     16.83     12.89   Keck,Pal1.5
 255    7021681    1    1    0       0.7    255.02    313    255.01     15.11     15.90     12.08   Keck,Pal1.5
 256   11548140    0    1    0    1687.9    256.01    729    256.01     15.37     16.48     11.78   Keck,Pal1.5
 257    5514383    1    0    0       2.7    257.01   1086    257.01     10.87     10.99      9.62   Gem,Keck,MMT,Pal1.5,WIYN
 258   11231334    0    0    1      41.5    258.01   1533    258.01      9.89     10.10      8.68   MMT,Pal1.5,WIYN
 259    5790807    0    0    1      27.8    259.01    602    259.01      9.95      9.95      8.94   Pal5
 260    8292840    3    0    0       1.5    260.01    479    260.02     10.50     10.70      9.34   Keck,MMT,Pal1.5,WIYN
 261    5383248    1    0    0       2.3    261.01    682    261.01     10.30     10.67      8.87   Keck,MMT,Pal1.5,WIYN
 262   11807274    2    0    0       1.5    262.01   1127    262.02     10.42     10.79      9.20   Keck,Lick,MMT,Pal1.5,Pal5,WIYN
 263   10514430    0    0    1       2.3    263.01    827    263.01     10.82     10.90      9.01   MMT,Pal1.5,Pal5
 264    3097346    0    0    1       1.9    264.01   1479    264.01     11.55     11.58     10.02   MMT,WIYN
 265   12024120    1    0    0       1.2    265.01   1345    265.01     11.99     12.08     10.66   Gem,Keck,Pal1.5,Pal5,WIYN
