 KOI   KICID      CP   PC   FP     Rp_min   KOI_Rp  Teq_min KOI_Teq    Kepmag      V         Ks     Observatories
 612    6587002    2    1    0       3.7    612.01    419    612.03     14.16     14.42     12.23   Pal1.5
 614    7368664    1    0    0       8.0    614.01    768    614.01     14.52     14.75     13.04   Pal1.5
 617    9846086    0    1    0      57.8    617.01    535    617.01     14.61     14.82     12.95   CAHA,Pal1.5,WIYN
 618   10353968    1    0    0       3.2    618.01    825    618.01     14.96     15.29     13.21   Pal1.5
 620   11773022    3    0    0       6.1    620.03    367    620.02     14.67     14.92     13.20   Pal1.5,WIYN
 622   12417486    0    1    0       6.3    622.01    285    622.01     14.93     15.28     12.99   Pal1.5,Pal5
 623   12068975    4    0    0       0.9    623.04    693    623.04     11.81     11.99     10.53   CAHA,Keck,Lick,Pal1.5,WIYN
 624    3541946    3    0    0       1.4    624.03    459    624.02     13.60     13.81     12.03   CAHA,Pal1.5,WIYN
 625    4449034    0    1    0     224.5    625.01    873    625.01     13.59     13.79     12.26   CAHA,Pal1.5,WIYN
 626    4478168    1    1    0       0.9    626.02    793    626.01     13.49     13.66     12.20   CAHA,Pal1.5,Pal5,WIYN
 627    4563268    2    0    0       1.2    627.02    977    627.01     13.31     13.50     11.90   Pal1.5,Pal5,WIYN
 628    4644604    1    0    0       2.2    628.01    772    628.01     13.95     14.19     12.39   CAHA,Keck,Pal1.5
 629    4656049    1    0    0       3.4    629.01    685    629.01     13.95     14.19     12.61   Pal1.5
 632    4827723    1    0    0       1.4    632.01    846    632.01     13.36     13.68     11.65   CAHA,Lick,Pal1.5,WIYN
 633    4841374    1    0    0       4.8    633.01    440    633.01     13.87     14.09     12.29   Pal1.5,Pal5
 635    5020319    0    1    0       2.4    635.01    749    635.01     13.03     13.39     11.75   Lick,Pal1.5,WIYN
 638    5113822    2    0    0       3.9    638.01    496    638.02     13.60     13.96     12.08   CAHA,MMT,Pal1.5
 639    5120087    1    0    0       2.2    639.01    769    639.01     13.50     13.83     12.21   Pal1.5
 640    5121511    1    0    0       2.4    640.01    524    640.01     13.33     13.64     11.48   CAHA,Keck,Pal1.5,WIYN
 641    5131180    0    1    0       2.3    641.01    447    641.01     13.58     14.26     10.70   CAHA,Pal1.5,WIYN
 644    5356593    0    0    1      35.8    644.01    735    644.01     13.73     14.02     11.86   CAHA,Pal1.5,WIYN
 645    5374854    1    1    0       2.2    645.01    853    645.02     13.72     13.99     11.98   CAHA,Pal1.5
 646    5384802    0    1    0      61.2    646.01   1544    646.01     13.70     13.89     12.34   WIYN
 647    5531694    1    1    0       0.7    647.02   1052    647.02     13.55     13.72     12.16   Pal1.5,WIYN
 649    5613330    1    1    0       0.9    649.02    779    649.01     13.31     13.48     11.90   Lick,Pal1.5,WIYN
 650    5786676    0    1    0       2.3    650.01    655    650.01     13.59     13.93     11.57   CAHA,Keck,Pal1.5
 651    5796186    0    0    2       1.6    651.02    281    651.02     13.91     14.10     12.46   Keck
 652    5796675    1    0    0       2.8    652.01    461    652.01     13.65     14.04     11.58   Keck,Pal1.5
 654    5941160    2    0    0       2.0    654.02    987    654.02     13.98     14.24     12.45   CAHA,Pal1.5,WIYN
 655    5966154    2    0    0       2.3    655.02    397    655.02     13.00     13.12     11.74   Lick,Pal1.5,Pal5,WIYN
 657    6020753    2    0    0       1.9    657.01    531    657.02     13.87     14.31     11.64   Keck,Pal1.5,WIYN
 658    6062088    3    0    0       1.3    658.03    806    658.03     13.99     14.21     12.44   CAHA,Pal1.5,WIYN
 659    6125481    1    0    0       2.8    659.01    862    659.01     13.41     13.53     12.18   CAHA,Pal1.5
 660    6267535    1    0    0       3.2    660.01   1221    660.01     13.53     13.81     11.68   Pal1.5
 661    6347299    2    0    0       1.4    661.02    665    661.02     13.91     14.11     12.48   Pal1.5,WIYN
 662    6365156    1    0    0       2.2    662.01    929    662.01     13.34     13.52     11.89   Lick,Pal1.5,WIYN
 663    6425957    2    0    0       1.2    663.01    343    663.02     13.51     14.08     10.83   Keck,Lick,Pal1.5
 664    6442340    3    0    0       0.9    664.03    655    664.03     13.48     13.68     12.00   CAHA,MMT,Pal1.5,WIYN
 665    6685609    3    0    0       1.1    665.03   1112    665.01     13.18     13.35     11.81   Lick,Pal1.5,Pal5,WIYN
 666    6707835    1    0    0       2.7    666.01    631    666.01     13.72     13.98     12.11   Pal1.5
 670    7033671    1    0    0       2.0    670.01    926    670.01     13.77     14.01     12.19   CAHA,Pal1.5
 671    7040629    4    0    0       1.3    671.04    875    671.03     13.75     13.76     12.21   CAHA,Pal1.5,WIYN
 672    7115785    2    0    1       2.6    672.01    523    672.02     14.00     14.25     12.36   CAHA,Keck,Pal1.5
 673    7124613    1    0    0       2.0    673.01   1311    673.01     13.34     13.54     12.10   Lick,Pal1.5,WIYN
 674    7277317    1    0    0      11.0    674.01    972    674.01     13.78     14.18     11.58   Keck,Pal1.5
 676    7447200    2    0    0       2.2    676.02    497    676.01     13.82     14.38     11.31   CAHA,Keck,Pal1.5,WIYN
 678    7509886    2    0    0       2.5    678.02   1147    678.01     13.28     13.65     11.45   CAHA,Keck,Lick,Pal1.5,Pal5,WIYN
 679    7515212    2    0    0       0.9    679.02    615    679.01     13.18     13.18     11.62   Lick,Pal1.5,Pal5,WIYN
 680    7529266    1    0    0       7.5    680.01   1016    680.01     13.64     13.79     12.29   Keck,Pal1.5
 682    7619236    0    1    0      10.9    682.01    241    682.01     13.92     14.09     12.26   CAHA,Keck,Pal1.5,WIYN
 683    7630229    0    1    0       6.2    683.01    295    683.01     13.71     13.93     12.24   Keck,Lick,Pal1.5,Pal5,WIYN
 684    7730747    0    1    0       7.6    684.01   1452    684.01     13.83     14.09     12.00   CAHA,Pal1.5,WIYN
 685    7764367    1    0    0       3.0    685.01   1686    685.01     13.95     14.19     12.57   CAHA,Pal1.5
 686    7906882    0    1    0      11.4    686.01    453    686.01     13.58     13.83     11.85   CAHA,Pal1.5,Pal5,WIYN
 687    7976520    0    1    0       1.7    687.01   1121    687.01     13.81     14.00     12.12   Pal1.5
 688    8161561    1    0    0       2.2    688.01   1527    688.01     13.99     14.32     12.59   Pal1.5
 689    8361905    1    0    0       1.6    689.01    632    689.01     13.77     14.12     12.09   Pal1.5
 691    8480285    1    1    0       1.1    691.02    630    691.01     13.97     14.10     12.61   Pal1.5,WIYN
 692    8557374    2    0    0       1.2    692.01   1030    692.02     13.65     13.85     12.12   Pal1.5,WIYN
 693    8738735    2    0    0       1.8    693.01    641    693.01     13.95     14.08     12.61   CAHA,Pal1.5,WIYN
 694    8802165    1    0    0       2.8    694.01    661    694.01     13.94     14.31     12.44   Pal1.5
 695    8805348    1    0    0       2.5    695.01    606    695.01     13.44     13.61     12.04   CAHA,Pal1.5
 697    8878187    1    0    0       3.5    697.01   1641    697.01     13.68     13.85     12.14   Keck,Pal1.5
 698    8891278    0    1    0      88.1    698.01   1043    698.01     13.82     14.47     12.87   Keck,Pal1.5
 700    8962094    4    0    0       1.5    700.03    460    700.04     13.58     13.80     12.00   MMT,Pal1.5,WIYN
 701    9002278    5    0    0       0.6    701.05    205    701.04     13.73     14.10     11.66   Gem,Keck,Pal1.5,WIYN
 703    9162741    0    0    1       1.9    703.01   2255    703.01     13.36     13.33     11.90   CAHA,Lick,Pal1.5,WIYN
 704    9266431    0    1    0       2.4    704.01    630    704.01     13.70     13.94     11.97   CAHA,Pal1.5
 707    9458613    5    0    0       1.5    707.05    691    707.02     13.99     14.19     12.59   Keck,Pal1.5,WIYN
 708    9530945    2    0    0       1.9    708.02    764    708.01     14.00     14.26     12.62   Keck,Pal1.5
 709    9578686    1    0    0       2.3    709.01    602    709.01     13.94     14.23     12.27   CAHA,Pal1.5,WIYN
 710    9590976    3    0    0       1.1    710.03   1178    710.02     13.29     13.29     12.10   Lick,Pal1.5,Pal5,WIYN
 711    9597345    3    0    0       1.7    711.02    357    711.03     13.97     14.18     12.31   Pal1.5,WIYN
 712    9640976    0    0    1       1.2    712.01   1282    712.01     13.72     13.99     12.18   Pal1.5
 714    9702072    1    0    0       2.6    714.01   1022    714.01     13.39     13.69     11.74   Pal1.5
 716    9846348    0    1    0       6.1    716.01    614    716.01     13.75     13.97     12.21   Pal1.5,Pal5
 717    9873254    2    0    0       0.7    717.02    753    717.01     13.39     13.61     11.79   CAHA,Lick,Pal1.5,Pal5,WIYN
 718    9884104    3    0    0       2.6    718.03    565    718.03     13.76     13.90     12.39   Pal1.5,WIYN
 719    9950612    4    0    0       0.8    719.04    362    719.03     13.18     13.30     10.55   Keck,Lick,Pal1.5,WIYN
 720    9963524    4    0    0       1.5    720.04    577    720.03     13.75     14.03     11.90   MMT,Pal1.5,WIYN
 721    9964801    1    0    0       3.0    721.01    996    721.01     13.65     13.89     12.16   CAHA,Pal1.5
 722    9965439    1    0    0       2.5    722.01    574    722.01     13.49     13.69     12.21   Lick,Pal1.5
 723   10002866    3    0    0       3.2    723.01    522    723.02     15.06     15.47     13.23   Pal1.5
 728   10221013    0    1    0      12.4    728.01   1015    728.01     15.36     15.58     13.77   Pal1.5
 730   10227020    4    0    0       1.8    730.04    692    730.03     15.34     15.64     13.63   Pal1.5,WIYN
 732   10265898    1    2    0       1.2    732.02    977    732.03     15.34     15.64     13.50   Pal1.5
 733   10271806    4    0    0       1.5    733.03    540    733.04     15.64     15.97     13.70   Pal1.5
 734   10272442    1    1    0       2.6    734.02    434    734.02     15.34     15.56     13.76   Pal1.5
 735   10287242    0    1    0       4.5    735.01    526    735.01     15.64     16.03     13.45   Pal1.5
 736   10340423    2    0    1       1.4    736.02    330    736.01     15.96     16.61     13.25   HST,Pal1.5
 738   10358759    2    0    0    1226.4    738.02    714    738.02     15.28     15.56     13.66   Pal1.5
 739   10386984    1    0    0       1.4    739.01    860    739.01     15.49     16.15     12.63   CAHA,Lick,Pal1.5
 740   10395381    1    0    0       2.3    740.01    516    740.01     15.56     15.97     13.35   Pal1.5,Pal5
 746   10526549    1    0    0       2.5    746.01    649    746.01     15.30     15.70     13.03   Pal1.5
 749   10601284    3    0    0       1.2    749.03    799    749.03     15.42     15.72     13.63   Pal1.5
 750   10662202    1    2    1       0.7    750.02    430    750.01     15.38     15.79     13.20   Pal1.5
 751   10682541    1    0    0       2.7    751.01    917    751.01     15.86     16.27     13.90   Pal1.5
 752   10797460    2    0    0       3.1    752.01    492    752.02     15.35     15.60     13.65   Pal1.5
 753   10811496    0    1    0    3462.2    753.01    639    753.01     15.44     15.69     13.83   Pal1.5
 755   10854555    1    0    0       2.7    755.01   1407    755.01     15.51     15.78     13.95   Pal1.5
 756   10872983    3    0    0       1.6    756.03    835    756.01     15.71     15.97     14.13   Pal1.5
 757   10910878    3    0    0       2.4    757.03    417    757.02     15.84     16.16     13.78   Pal1.5
 758   10987985    1    0    0       2.9    758.01    593    758.01     15.39     15.78     13.21   Pal1.5
 759   11018648    2    0    0       2.1    759.02    358    759.02     15.08     15.51     13.30   Pal1.5
 760   11138155    0    1    0      11.9    760.01   1128    760.01     15.26     15.62     13.81   Pal1.5
 762   11153539    1    0    0       2.2    762.01   1133    762.01     15.40     15.61     13.81   Pal1.5
 763   11242721    0    0    1      12.8    763.01    730    763.01     15.54     15.71     13.92   Pal1.5
 764   11304958    1    0    0       5.7    764.01    516    764.01     15.40     15.67     13.52   Pal1.5
 765   11391957    1    0    0       2.5    765.01    789    765.01     15.32     15.59     13.53   Pal1.5
 766   11403044    1    0    0       4.5    766.01   1244    766.01     15.51     15.72     14.20   Pal1.5
 767   11414511    1    0    0      12.8    767.01   1253    767.01     15.05     15.33     13.31   Pal1.5
 769   11460018    1    0    0       2.3    769.01   1014    769.01     15.36     15.65     13.77   Pal1.5
 771   11465813    0    1    0      14.4    771.01    196    771.01     15.21     15.50     13.25   Keck,Pal1.5
 772   11493732    0    1    0      64.2    772.01    505    772.01     15.25     15.45     13.85   Pal1.5
 773   11507101    1    0    0       2.7    773.01    541    773.01     15.17     15.34     13.50   Pal1.5
 774   11656840    0    0    1      15.5    774.01    967    774.01     15.27     15.52     13.70   Pal1.5
 775   11754553    3    0    0       1.8    775.03    300    775.03     15.10     15.70     12.36   Keck,Pal1.5
 776   11812062    1    0    0       6.3    776.01   1022    776.01     15.52     15.86     13.67   Pal1.5
 777   11818800    0    1    0       8.0    777.01    468    777.01     15.49     15.81     13.49   Pal1.5
 778   11853255    1    0    0       1.3    778.01    685    778.01     15.14     15.75     12.39   Pal1.5
 780   11918099    1    1    0       2.4    780.01    723    780.02     15.33     15.70     13.19   Pal1.5
 781   11923270    1    0    0       3.1    781.01    400    781.01     15.94     16.85     12.63   Keck,Pal1.5
 782   11960862    1    0    0       5.4    782.01   1015    782.01     15.31     15.57     13.69   Pal1.5
 783   12020329    1    0    0       4.9    783.01    833    783.01     15.08     15.36     13.26   Pal1.5
 784   12066335    2    0    0       1.6    784.02    343    784.01     15.39     16.06     12.59   Pal1.5
 785   12070811    1    0    0       2.7    785.01    680    785.01     15.51     15.77     13.69   Pal1.5
 786   12110942    1    0    0       2.0    786.01   1147    786.01     15.24     15.46     13.76   Pal1.5
 787   12366084    2    0    0       3.1    787.01    784    787.02     15.37     15.51     13.77   Pal1.5
 788   12404086    1    0    0       3.2    788.01    491    788.01     15.23     15.60     13.17   Pal1.5
 790   12470844    2    0    0       2.7    790.01    390    790.02     15.34     15.63     13.45   HST,Pal1.5
 791   12644822    1    0    0       7.7    791.01    753    791.01     15.14     15.39     13.48   Pal1.5
 794    2713049    1    0    0       2.0    794.01   1348    794.01     15.03     15.30     13.36   Pal1.5
 795    3114167    1    0    0       2.7    795.01    813    795.01     15.59     15.87     13.83   Pal1.5
 797    3115833    0    1    0       8.2    797.01    819    797.01     15.66     15.91     13.94   Pal1.5
 799    3246984    0    1    0     447.3    799.01   1548    799.01     15.28     15.66     13.51   Pal5
 800    3342970    2    0    0       3.5    800.02   1015    800.02     15.54     15.73     14.06   CAHA,Pal1.5
 801    3351888    1    0    0       9.7    801.01   1572    801.01     15.00     15.28     13.31   Pal1.5
 804    3641726    0    1    0       2.7    804.01    757    804.01     15.39     15.70     13.43   Pal1.5
 805    3734868    0    0    1      13.9    805.01    843    805.01     15.65     15.92     13.84   Pal1.5
 806    3832474    3    0    2       1.9    806.03    308    806.01     15.40     15.66     13.58   Pal1.5
 809    3935914    1    0    0      11.8    809.01   1540    809.01     15.53     15.75     13.92   Pal1.5
 810    3940418    0    1    0       2.8    810.01    886    810.01     15.12     15.42     13.20   Pal1.5
 811    4049131    1    0    0       3.6    811.01    518    811.01     15.40     15.88     13.22   Pal1.5
 812    4139816    4    0    0       1.2    812.04    265    812.03     15.95     16.68     13.12   Gem,HST,Keck,Pal1.5,Pal5
 813    4275191    1    0    0       7.9    813.01   1011    813.01     15.73     16.08     13.92   Pal1.5
 814    4476123    1    0    0       2.5    814.01    544    814.01     15.58     15.89     13.71   Pal1.5
 815    4544670    0    1    0       7.5    815.01    511    815.01     15.68     16.04     13.88   Pal1.5
 816    4664847    1    0    0       5.6    816.01    958    816.01     15.67     15.97     14.11   Pal1.5
 817    4725681    2    0    0       1.5    817.02    325    817.01     15.41     16.25     12.31   Keck,Pal1.5
 818    4913852    1    0    0       2.1    818.01    466    818.01     15.88     16.78     12.49   Keck,Pal1.5
 819    4932348    0    0    1      28.5    819.01    500    819.01     15.47     15.79     13.80   Pal5
 821    5021899    1    0    0       3.6    821.01    639    821.01     15.54     15.85     13.70   Pal1.5
 822    5077629    0    0    1      10.9    822.01    814    822.01     15.81     16.10     14.06   Pal1.5
 823    5115978    0    1    0      72.8    823.01   1947    823.01     15.20     15.43     13.60   Pal1.5
 824    5164255    1    0    0      10.4    824.01    576    824.01     16.42     16.81     14.18   Gem,Pal1.5
 825    5252423    2    0    0       1.5    825.02    688    825.01     15.29     15.70     13.17   Pal1.5,Pal5
 826    5272878    1    0    0       2.5    826.01    917    826.01     15.09     15.29     13.49   Pal1.5
 829    5358241    3    0    0       2.4    829.02    550    829.03     15.39     15.65     13.81   HST,Pal1.5
 830    5358624    1    0    0      11.9    830.01    955    830.01     15.22     15.62     13.23   Pal1.5
 833    5376067    0    1    0      31.7    833.01   1132    833.01     15.45     15.70     13.78   Pal1.5
 834    5436502    5    0    0       1.0    834.04    486    834.05     15.08     15.28     13.51   CAHA,Pal1.5
 835    5456651    2    0    0       2.2    835.02    365    835.02     15.21     15.63     13.13   Pal1.5
 837    5531576    2    0    0       1.5    837.02    712    837.01     15.66     16.06     13.46   Pal1.5
 838    5534814    0    1    0      33.0    838.01   1110    838.01     15.31     15.54     13.63   Pal1.5
 841    5792202    2    2    1       2.8    841.03    242    841.04     15.85     16.15     14.12   CAHA,Keck,Pal1.5
 842    5794379    2    0    0       2.3    842.01    397    842.02     15.39     15.90     12.88   Pal1.5
 843    5881688    1    0    0       6.7    843.01   1265    843.01     15.27     15.49     13.62   Pal1.5
 844    6022556    1    0    0       4.0    844.01   1056    844.01     15.58     15.82     13.78   Pal1.5,WIYN
 845    6032497    1    0    0       4.0    845.01    725    845.01     15.45     15.70     13.80   Pal1.5
 846    6061119    1    0    0      14.5    846.01    557    846.01     15.48     15.78     13.67   Pal1.5
 847    6191521    1    0    0       4.7    847.01    376    847.01     15.20     15.45     13.57   Keck,Pal1.5
 849    6276477    1    0    0       3.1    849.01    777    849.01     15.02     15.32     13.14   Pal1.5
 850    6291653    1    0    0       8.5    850.01    713    850.01     15.31     15.65     13.49   Pal1.5
 851    6392727    1    0    0       5.7    851.01   1039    851.01     15.29     15.57     13.62   Pal1.5
 852    6422070    1    0    0       2.6    852.01   1120    852.01     15.26     15.52     13.56   Keck
 853    6428700    2    0    0       2.8    853.02    613    853.02     15.38     15.72     13.24   Pal1.5
 854    6435936    1    0    0       2.0    854.01    229    854.01     15.85     16.82     12.54   HST,Keck,Pal1.5
 855    6522242    1    0    0      11.7    855.01    453    855.01     15.20     15.47     13.31   Pal1.5
 856    6526710    0    1    0      14.6    856.01    552    856.01     15.34     15.62     13.77   Pal1.5
 857    6587280    2    0    0       1.7    857.02    554    857.02     15.09     15.40     13.06   Pal1.5
 858    6599919    0    1    0      14.4    858.01    733    858.01     15.06     15.30     13.24   Pal1.5
 861    6685526    1    0    0       1.4    861.01   1129    861.01     15.00     15.31     13.00   Pal1.5
 863    6784235    1    0    0       2.9    863.01   1221    863.01     15.53     15.78     13.87   Pal1.5
 864    6849310    3    0    0       2.0    864.03    591    864.02     15.60     15.77     13.73   Pal1.5
 867    6863998    1    0    0       3.2    867.01    613    867.01     15.22     15.57     13.15   Pal1.5
 868    6867155    0    1    0       8.9    868.01    157    868.01     15.17     15.79     12.52   Keck,Pal1.5
 869    6948054    4    0    0       1.9    869.04    485    869.02     15.60     15.96     13.64   Pal1.5
 870    6949607    2    0    0       1.9    870.01    509    870.02     15.04     15.50     12.72   Pal1.5,WIYN
 871    7031517    0    1    0      22.6    871.01    715    871.01     15.22     15.44     13.63   Pal1.5
 872    7109675    2    0    0       2.2    872.02    495    872.01     15.26     15.59     13.35   Pal1.5,WIYN
 873    7118364    1    0    0       1.6    873.01    985    873.01     15.02     15.29     13.38   Pal1.5
 874    7134976    2    0    0       1.6    874.02    674    874.02     15.02     15.40     13.04   Pal1.5
 875    7135852    0    1    0       2.8    875.01    600    875.01     15.69     16.19     13.10   Pal1.5
 877    7287995    3    0    0       1.0    877.03    357    877.03     15.02     15.56     12.39   Keck,Pal1.5
 878    7303253    1    0    0       3.1    878.01    487    878.01     15.32     15.68     13.06   Pal1.5
 880    7366258    4    0    0       1.8    880.04    471    880.02     15.16     15.44     13.52   Pal1.5
 881    7373451    2    0    0       3.1    881.01    244    881.02     15.86     16.20     13.84   CAHA,Pal1.5
 883    7380537    0    1    0      12.4    883.01    929    883.01     15.77     16.22     13.52   Pal1.5
 884    7434875    3    0    0       1.6    884.03    533    884.02     15.07     15.39     13.05   CAHA,Lick,Pal1.5
 886    7455287    3    0    0       1.3    886.02    329    886.03     15.85     16.73     12.65   HST,Keck,MMT,Pal1.5
 887    7458762    1    0    0       2.3    887.01    904    887.01     15.03     15.39     13.30   Pal1.5,WIYN
 889     757450    1    0    0      11.0    889.01    770    889.01     15.26     15.55     13.12   Pal1.5
 890    7585481    1    0    0       9.2    890.01    976    890.01     15.26     15.49     13.82   Pal1.5
 891    7663691    1    0    0       3.6    891.01    876    891.01     15.06     15.29     13.59   Pal1.5
 892    7678434    1    1    0       1.4    892.02    669    892.01     15.19     15.54     13.14   Pal1.5
 893    7685981    1    0    0       2.7    893.01   1139    893.01     15.66     15.87     14.00   Pal1.5
 895    7767559    0    0    1      11.4    895.01   1101    895.01     15.40     15.73     13.54   Pal1.5
 896    7825899    2    1    0       1.5    896.03    488    896.03     15.26     15.57     13.36   Pal1.5
 897    7849854    1    0    0      13.4    897.01   1495    897.01     15.26     15.49     13.60   Pal1.5
 898    7870390    3    0    0       1.8    898.02    361    898.03     15.78     16.51     12.95   Pal1.5
 899    7907423    3    0    0       1.1    899.02    336    899.03     15.23     16.23     11.97   HST,Keck,Lick,Pal1.5
 900    7938496    0    1    0       4.8    900.01    833    900.01     15.43     15.62     13.85   Pal1.5
 901    8013419    0    1    0       5.0    901.01    431    901.01     15.75     16.38     13.18   Pal1.5
 902    8018547    0    1    0       5.1    902.01    226    902.01     15.75     16.31     13.22   Pal1.5
 904    8150320    5    0    0       1.5    904.04    356    904.03     15.79     16.36     13.29   HST,Keck,Pal1.5
 906    8226994    3    0    0       1.2    906.03    573    906.02     15.46     15.80     13.48   Pal1.5
 907    8247638    4    0    0       1.8    907.03    419    907.04     15.22     15.48     13.63   Pal1.5
 908    8255887    1    0    0      11.1    908.01   1162    908.01     15.11     15.56     13.24   Keck,Pal1.5
 910    8414716    1    0    0       2.8    910.01    851    910.01     15.65     15.96     13.63   Pal1.5
 911    8490993    2    0    0       2.5    911.01    401    911.02     15.40     15.62     13.84   Lick,Pal1.5
 912    8505670    2    0    0       1.2    912.02    500    912.01     15.06     15.62     12.47   Pal1.5
 913    8544996    1    0    0      10.9    913.01   1019    913.01     15.20     15.43     13.50   Pal1.5
 914    8552202    0    1    0       1.9    914.01   1009    914.01     15.37     15.62     13.65   Pal1.5
 916    8628973    1    0    0       3.6    916.01   1155    916.01     15.14     15.42     13.37   Pal1.5
 918    8672910    1    0    1      10.5    918.01    476    918.01     15.01     15.32     13.22   Pal1.5
 920    8689031    1    0    0       2.7    920.01    549    920.01     15.07     15.33     13.33   Pal1.5
 921    8689373    3    0    0       1.7    921.03    569    921.02     15.53     15.92     13.53   Pal1.5
 922    8826878    1    0    0       2.7    922.01    964    922.01     15.36     15.73     13.43   Pal1.5
 923    8883593    1    0    0       3.2    923.01    982    923.01     15.54     15.77     13.94   Pal1.5
 924    8951215    0    1    0       4.4    924.01    577    924.01     15.23     15.42     13.71   Pal1.5
 928    9140402    0    1    0       3.3    928.01   1200    928.01     15.25     15.53     13.59   Pal1.5,WIYN
 929    9141746    1    0    0      10.3    929.01   1073    929.01     15.65     15.85     14.10   Pal1.5
 931    9166862    1    0    0      13.8    931.01   1211    931.01     15.27     15.51     13.77   Keck,Pal1.5
 934    9334289    3    0    0       2.3    934.02    666    934.03     15.84     16.13     14.25   Pal1.5
 935    9347899    3    1    0       1.8    935.04    484    935.03     15.24     15.42     13.87   Pal1.5,Pal5
 936    9388479    2    0    0       1.2    936.02    403    936.01     15.07     16.16     11.72   Keck,Lick,Pal1.5
 937    9406990    1    0    0       2.9    937.01    595    937.01     15.41     15.70     13.65   Pal1.5
 938    9415172    3    0    0       1.4    938.02    768    938.01     15.60     15.88     13.69   Pal1.5
 939    9466668    4    0    0       1.4    939.03    825    939.04     15.06     15.23     13.42   Pal1.5
 940    9479273    1    0    0       4.0    940.01    849    940.01     15.02     14.71     12.67   Pal1.5
 941    9480189    3    0    0       2.7    941.02    568    941.03     15.47     15.86     13.37   Pal1.5
 942    9512687    1    0    0       3.0    942.01    658    942.01     15.39     15.73     13.45   Pal1.5
 943    9513865    1    0    0       2.9    943.01   1003    943.01     15.73     16.06     13.82   Pal1.5
 945    9605514    0    3    0       2.3    945.03    490    945.03     15.08     15.24     13.63   Pal1.5
 947    9710326    1    0    0       1.9    947.01    295    947.01     15.19     16.01     12.10   HST,Keck,MMT,Pal1.5
 948    9761882    1    0    0       2.3    948.01    531    948.01     15.60     15.83     13.82   Pal1.5
 949    9766437    1    0    0       3.4    949.01    775    949.01     15.48     15.69     13.85   Pal1.5
 951    9775938    2    0    0       3.7    951.02    470    951.02     15.22     15.66     12.96   Pal1.5
 952    9787239    5    0    0       1.3    952.04    327    952.03     15.80     16.65     12.76   HST,Keck,Pal1.5
 953    9820483    1    0    0       4.9    953.01   1131    953.01     15.95     16.19     14.18   Pal1.5
 954    9823457    2    0    0       2.7    954.01    530    954.02     15.22     15.37     13.56   Pal1.5
 955    9825625    1    0    0       2.5    955.01   1041    955.01     15.07     15.27     13.69   Pal1.5
 956    9875711    1    0    0       3.7    956.01    690    956.01     15.22     15.72     12.82   Pal1.5
 958    1026957    0    1    0       2.5    958.01    498    958.01     12.56     12.97     10.41   Lick,Pal1.5
 959   10002261    0    1    0       2.3    959.01    182    959.01     13.10     12.69      8.69   Keck,WIYN
 961    8561063    3    0    0       0.7    961.03    456    961.03     15.92     14.43     11.47   Keck,MMT,Pal1.5,WIYN
 968    3560301    0    0    1       2.6    968.01   1726    968.01     10.96     11.14      9.94   WIYN
 969    4044005    0    1    0      13.1    969.01    804    969.01     12.34     12.53     11.03   Pal1.5,WIYN
 970   11502218    0    0    1      34.9    970.01   3145    970.01      6.97      7.51      4.72   WIYN
 971   11180361    0    0    1     116.7    971.01   5855    971.01      7.75      7.76      7.36   WIYN
 972   11013201    0    1    1       8.3    972.01   1768    972.01      9.27      9.39      8.74   Keck,Pal1.5,Pal5,WIYN
 973   12366681    0    0    1       0.5    973.01   1120    973.01      9.56      9.61      8.37   WIYN
 974    9414417    0    1    0       2.5    974.01    685    974.01      9.58      9.78      8.41   Keck,MMT,Pal1.5,Pal5,WIYN
 975    3632418    1    0    0       1.6    975.01   1785    975.01      8.22      8.42      6.95   Keck,MMT,Pal1.5,Pal5,WIYN
 976    3441784    0    1    0      90.7    976.01    722    976.01      9.73      9.97      9.10   Pal1.5,WIYN
 977   11192141    0    1    0     388.0    977.01   4903    977.01     10.52     10.81      7.47   Keck,Lick,Pal1.5,WIYN
 978   11494130    0    1    0      12.6    978.01   1115    978.01     10.99     11.07      9.81   WIYN
 979    5648449    0    0    1    2191.2    979.01   6365    979.01     10.68     11.62      6.28   MMT,WIYN
 980   12167361    0    1    0      52.8    980.01    905    980.01     10.38     10.46      9.89   WIYN
 981    8607720    0    0    1       3.0    981.01   2203    981.01     10.73     10.94      8.72   Keck,Lick,Pal1.5,WIYN
 984    1161345    0    1    0       2.8    984.01    998    984.01     11.63     12.81     10.02   Keck,Lick,Pal1.5,WIYN
 986    2854698    2    0    0       1.6    986.02    379    986.02     14.14     14.37     12.49   Keck,Pal1.5
 987    7295235    1    0    0       1.2    987.01   1097    987.01     12.55     12.76     10.78   Gem,Keck,Lick,Pal1.5,WIYN
 988    2302548    2    0    0       2.1    988.02    509    988.02     13.56     13.88     11.59   Pal1.5,WIYN
 989   10743597    0    1    3      86.1    989.03    660    989.03     15.49     15.84     13.86   Pal1.5
 990   10015516    0    0    1     176.0    990.01   1173    990.01     10.70     10.99      8.62   Pal5
 991   10154388    1    0    0       2.8    991.01   1024    991.01     13.58     13.85     11.93   Pal1.5,WIYN
 992    1432789    1    1    0       1.1    992.02    824    992.01     15.21     15.45     13.62   Pal1.5,WIYN
 993    1718189    2    1    0       1.5    993.03    391    993.03     14.25     14.54     12.73   Lick,Pal1.5,WIYN
